course_id,course_name,skill,difficulty
95,Advanced Python,Statistics,Intermediate
96,TensorFlow Crash Course,Numpy,Intermediate
97,Advanced Python,Statistics,Beginner
98,Deep Learning Fundamentals,Linear Algebra,Advanced
99,Deep Learning Fundamentals,Numpy,Intermediate
100,Deep Learning Fundamentals,Deep Learning,Intermediate
101,Advanced Python,TensorFlow,Intermediate
102,Data Visualization with Python,SQL,Beginner
103,PyTorch for Deep Learning,Machine Learning,Beginner
104,TensorFlow Crash Course,Deep Learning,Beginner
105,SQL for Data Science,Pandas,Intermediate
106,Machine Learning Intro,Pandas,Advanced
107,Machine Learning Intro,Data Visualization,Beginner
108,Advanced Python,Pandas,Intermediate
109,Data Visualization with Python,Machine Learning,Advanced
110,SQL for Data Science,Statistics,Beginner
111,Neural Networks,Linear Algebra,Beginner
112,Python Basics,Data Analysis,Beginner
113,Deep Learning Fundamentals,SQL,Advanced
114,Advanced Python,Machine Learning,Intermediate
115,Pandas for Data Analysis,Numpy,Advanced
116,Machine Learning Intro,Python,Intermediate
117,Statistics for Data Science,Data Visualization,Intermediate
118,PyTorch for Deep Learning,Data Visualization,Beginner
119,Pandas for Data Analysis,TensorFlow,Advanced
120,Pandas for Data Analysis,Statistics,Intermediate
121,Data Visualization with Python,Machine Learning,Intermediate
122,Pandas for Data Analysis,TensorFlow,Advanced
123,SQL for Data Science,SQL,Beginner
124,Neural Networks,Data Analysis,Intermediate
125,Machine Learning Intro,Statistics,Intermediate
126,Advanced Python,Data Analysis,Advanced
127,TensorFlow Crash Course,Python,Beginner
128,PyTorch for Deep Learning,Deep Learning,Advanced
129,Pandas for Data Analysis,Python,Beginner
130,Pandas for Data Analysis,Numpy,Intermediate
131,PyTorch for Deep Learning,Linear Algebra,Advanced
132,Pandas for Data Analysis,Python,Advanced
133,Advanced Python,Statistics,Intermediate
134,Machine Learning Intro,Numpy,Advanced
135,Machine Learning Intro,Pandas,Beginner
136,Numpy Fundamentals,Pandas,Advanced
137,SQL for Data Science,Deep Learning,Advanced
138,Numpy Fundamentals,Numpy,Advanced
139,SQL for Data Science,Data Analysis,Advanced
140,PyTorch for Deep Learning,Deep Learning,Intermediate
141,Data Visualization with Python,Data Analysis,Intermediate
142,PyTorch for Deep Learning,Deep Learning,Advanced
143,TensorFlow Crash Course,TensorFlow,Intermediate
144,TensorFlow Crash Course,Linear Algebra,Advanced
145,Machine Learning Intro,SQL,Beginner
146,Neural Networks,Python,Beginner
147,Numpy Fundamentals,SQL,Beginner
148,SQL for Data Science,Pandas,Intermediate
149,Advanced Python,PyTorch,Beginner
150,Data Visualization with Python,Python,Intermediate
151,Machine Learning Intro,PyTorch,Beginner
152,Python Basics,Machine Learning,Advanced
153,Data Visualization with Python,Linear Algebra,Beginner
154,Python Basics,Deep Learning,Intermediate
155,PyTorch for Deep Learning,Pandas,Beginner
156,Neural Networks,Data Visualization,Intermediate
157,Statistics for Data Science,Pandas,Intermediate
158,Data Visualization with Python,Machine Learning,Intermediate
159,Deep Learning Fundamentals,Python,Beginner
160,SQL for Data Science,Pandas,Advanced
161,Data Visualization with Python,Pandas,Advanced
162,Machine Learning Intro,TensorFlow,Beginner
163,Pandas for Data Analysis,Pandas,Advanced
164,Advanced Python,Deep Learning,Intermediate
165,TensorFlow Crash Course,Linear Algebra,Intermediate
166,Python Basics,SQL,Intermediate
167,Pandas for Data Analysis,SQL,Beginner
168,Python Basics,Linear Algebra,Intermediate
169,Machine Learning Intro,Deep Learning,Advanced
170,PyTorch for Deep Learning,Data Analysis,Advanced
171,Numpy Fundamentals,Data Visualization,Beginner
172,SQL for Data Science,Numpy,Advanced
173,Deep Learning Fundamentals,Numpy,Intermediate
174,Machine Learning Intro,TensorFlow,Intermediate
175,TensorFlow Crash Course,Data Analysis,Intermediate
176,Deep Learning Fundamentals,Numpy,Intermediate
177,Machine Learning Intro,TensorFlow,Intermediate
178,Statistics for Data Science,Python,Intermediate
179,PyTorch for Deep Learning,Linear Algebra,Intermediate
180,Machine Learning Intro,PyTorch,Beginner
181,Numpy Fundamentals,Numpy,Beginner
182,Machine Learning Intro,PyTorch,Intermediate
183,TensorFlow Crash Course,Data Visualization,Beginner
184,SQL for Data Science,Statistics,Beginner
185,Deep Learning Fundamentals,PyTorch,Intermediate
186,Advanced Python,Statistics,Intermediate
187,Statistics for Data Science,Numpy,Beginner
188,TensorFlow Crash Course,SQL,Intermediate
189,SQL for Data Science,TensorFlow,Beginner
190,Numpy Fundamentals,Machine Learning,Intermediate
191,Advanced Python,Numpy,Intermediate
192,Data Visualization with Python,Pandas,Beginner
193,TensorFlow Crash Course,Numpy,Advanced
194,Machine Learning Intro,SQL,Beginner
195,TensorFlow Crash Course,TensorFlow,Intermediate
196,Pandas for Data Analysis,SQL,Advanced
197,Deep Learning Fundamentals,SQL,Beginner
198,Neural Networks,SQL,Beginner
199,Statistics for Data Science,SQL,Advanced
200,Deep Learning Fundamentals,Linear Algebra,Beginner
201,Numpy Fundamentals,Data Visualization,Beginner
202,Statistics for Data Science,Data Visualization,Intermediate
203,Machine Learning Intro,Pandas,Intermediate
204,Machine Learning Intro,Machine Learning,Advanced
205,Neural Networks,Linear Algebra,Advanced
206,Numpy Fundamentals,TensorFlow,Intermediate
207,Neural Networks,Data Analysis,Beginner
208,Advanced Python,Python,Advanced
209,PyTorch for Deep Learning,SQL,Intermediate
210,Neural Networks,TensorFlow,Advanced
211,SQL for Data Science,TensorFlow,Advanced
212,Neural Networks,SQL,Beginner
213,Pandas for Data Analysis,TensorFlow,Advanced
214,Python Basics,Machine Learning,Beginner
215,Pandas for Data Analysis,Python,Beginner
216,Statistics for Data Science,Pandas,Advanced
217,SQL for Data Science,PyTorch,Beginner
218,TensorFlow Crash Course,Numpy,Beginner
219,Deep Learning Fundamentals,Python,Advanced
220,Data Visualization with Python,Machine Learning,Beginner
221,Deep Learning Fundamentals,Statistics,Beginner
222,SQL for Data Science,Numpy,Beginner
223,Data Visualization with Python,Statistics,Advanced
224,SQL for Data Science,Data Analysis,Advanced
225,Numpy Fundamentals,Linear Algebra,Beginner
226,Pandas for Data Analysis,Numpy,Beginner
227,Pandas for Data Analysis,SQL,Advanced
228,SQL for Data Science,Linear Algebra,Beginner
229,Data Visualization with Python,Linear Algebra,Advanced
230,Python Basics,SQL,Beginner
231,Neural Networks,Statistics,Intermediate
232,Neural Networks,Linear Algebra,Intermediate
233,Statistics for Data Science,PyTorch,Advanced
234,TensorFlow Crash Course,Machine Learning,Advanced
235,Python Basics,Statistics,Advanced
236,Data Visualization with Python,Deep Learning,Intermediate
237,Numpy Fundamentals,SQL,Intermediate
238,Python Basics,Pandas,Intermediate
239,Numpy Fundamentals,Data Analysis,Intermediate
240,Advanced Python,Statistics,Beginner
241,TensorFlow Crash Course,Deep Learning,Advanced
242,SQL for Data Science,PyTorch,Beginner
243,Machine Learning Intro,Deep Learning,Beginner
244,SQL for Data Science,Numpy,Beginner
245,Advanced Python,Data Analysis,Advanced
246,Neural Networks,Machine Learning,Advanced
247,Data Visualization with Python,Data Analysis,Intermediate
248,Advanced Python,Machine Learning,Intermediate
249,Python Basics,SQL,Intermediate
250,TensorFlow Crash Course,Linear Algebra,Advanced
251,Neural Networks,Linear Algebra,Intermediate
252,Machine Learning Intro,Data Analysis,Advanced
253,TensorFlow Crash Course,TensorFlow,Advanced
254,Machine Learning Intro,Pandas,Intermediate
255,Numpy Fundamentals,Linear Algebra,Beginner
256,Data Visualization with Python,PyTorch,Intermediate
257,Pandas for Data Analysis,Machine Learning,Advanced
258,Neural Networks,Numpy,Intermediate
259,Python Basics,PyTorch,Intermediate
260,Advanced Python,Data Analysis,Intermediate
261,Advanced Python,Numpy,Intermediate
262,Python Basics,Machine Learning,Advanced
263,Numpy Fundamentals,Pandas,Advanced
264,Python Basics,Linear Algebra,Advanced
265,Neural Networks,PyTorch,Intermediate
266,Advanced Python,Numpy,Advanced
267,Statistics for Data Science,Deep Learning,Intermediate
268,Data Visualization with Python,Numpy,Advanced
269,PyTorch for Deep Learning,Data Analysis,Beginner
270,PyTorch for Deep Learning,Deep Learning,Beginner
271,Numpy Fundamentals,PyTorch,Intermediate
272,Statistics for Data Science,Machine Learning,Advanced
273,Python Basics,Linear Algebra,Intermediate
274,Deep Learning Fundamentals,Pandas,Beginner
275,Python Basics,SQL,Intermediate
276,Neural Networks,Pandas,Beginner
277,Machine Learning Intro,Pandas,Intermediate
278,TensorFlow Crash Course,SQL,Intermediate
279,PyTorch for Deep Learning,Data Visualization,Intermediate
280,Deep Learning Fundamentals,Pandas,Intermediate
281,Data Visualization with Python,Numpy,Intermediate
282,Pandas for Data Analysis,Linear Algebra,Beginner
283,Machine Learning Intro,Numpy,Beginner
284,Machine Learning Intro,Numpy,Advanced
285,Neural Networks,PyTorch,Advanced
286,Statistics for Data Science,Data Visualization,Advanced
287,Pandas for Data Analysis,Statistics,Advanced
288,Statistics for Data Science,Data Visualization,Beginner
289,Python Basics,Linear Algebra,Intermediate
290,Deep Learning Fundamentals,Data Analysis,Advanced
291,Deep Learning Fundamentals,PyTorch,Intermediate
292,Data Visualization with Python,Machine Learning,Intermediate
293,Advanced Python,TensorFlow,Beginner
294,Pandas for Data Analysis,Pandas,Beginner
295,Pandas for Data Analysis,PyTorch,Advanced
296,Numpy Fundamentals,SQL,Intermediate
297,Pandas for Data Analysis,Python,Beginner
298,SQL for Data Science,PyTorch,Advanced
299,Deep Learning Fundamentals,Deep Learning,Advanced
300,Statistics for Data Science,TensorFlow,Intermediate
301,PyTorch for Deep Learning,Deep Learning,Beginner
302,TensorFlow Crash Course,Data Visualization,Advanced
303,SQL for Data Science,Pandas,Advanced
304,PyTorch for Deep Learning,Deep Learning,Intermediate
305,Statistics for Data Science,Linear Algebra,Advanced
306,Numpy Fundamentals,Machine Learning,Beginner
307,Data Visualization with Python,Machine Learning,Intermediate
308,Numpy Fundamentals,Python,Beginner
309,Pandas for Data Analysis,Pandas,Beginner
310,Deep Learning Fundamentals,Python,Beginner
311,Advanced Python,Machine Learning,Intermediate
312,SQL for Data Science,Data Analysis,Beginner
313,Advanced Python,TensorFlow,Beginner
314,TensorFlow Crash Course,Data Analysis,Intermediate
315,PyTorch for Deep Learning,Data Analysis,Intermediate
316,PyTorch for Deep Learning,Statistics,Intermediate
317,Python Basics,Data Visualization,Advanced
318,PyTorch for Deep Learning,Python,Advanced
319,PyTorch for Deep Learning,Deep Learning,Intermediate
320,Machine Learning Intro,Deep Learning,Intermediate
321,Machine Learning Intro,Deep Learning,Advanced
322,Pandas for Data Analysis,Linear Algebra,Beginner
323,Machine Learning Intro,SQL,Beginner
324,Neural Networks,TensorFlow,Intermediate
325,Python Basics,SQL,Beginner
326,Numpy Fundamentals,TensorFlow,Intermediate
327,Numpy Fundamentals,Machine Learning,Advanced
328,PyTorch for Deep Learning,Machine Learning,Intermediate
329,Numpy Fundamentals,TensorFlow,Intermediate
330,Pandas for Data Analysis,Deep Learning,Intermediate
331,Data Visualization with Python,PyTorch,Intermediate
332,SQL for Data Science,PyTorch,Beginner
333,Numpy Fundamentals,Python,Beginner
334,TensorFlow Crash Course,Linear Algebra,Beginner
335,SQL for Data Science,Statistics,Intermediate
336,Python Basics,Deep Learning,Beginner
337,PyTorch for Deep Learning,TensorFlow,Beginner
338,SQL for Data Science,Data Visualization,Intermediate
339,SQL for Data Science,Data Analysis,Beginner
340,Advanced Python,Linear Algebra,Beginner
341,Deep Learning Fundamentals,Python,Intermediate
342,Python Basics,SQL,Intermediate
343,Machine Learning Intro,Linear Algebra,Advanced
344,Machine Learning Intro,Data Visualization,Beginner
345,TensorFlow Crash Course,Statistics,Intermediate
346,Machine Learning Intro,Deep Learning,Beginner
347,Advanced Python,Machine Learning,Intermediate
348,PyTorch for Deep Learning,Pandas,Advanced
349,Machine Learning Intro,Data Analysis,Advanced
350,Advanced Python,Deep Learning,Advanced
351,PyTorch for Deep Learning,Pandas,Beginner
352,Data Visualization with Python,Data Visualization,Beginner
353,TensorFlow Crash Course,TensorFlow,Intermediate
354,Deep Learning Fundamentals,Linear Algebra,Beginner
355,Neural Networks,Data Visualization,Beginner
356,TensorFlow Crash Course,TensorFlow,Advanced
357,Deep Learning Fundamentals,Data Analysis,Beginner
358,Neural Networks,Statistics,Beginner
359,TensorFlow Crash Course,Statistics,Advanced
360,Data Visualization with Python,Data Analysis,Intermediate
361,Numpy Fundamentals,Data Analysis,Beginner
362,Pandas for Data Analysis,PyTorch,Intermediate
363,Python Basics,Machine Learning,Intermediate
364,Data Visualization with Python,TensorFlow,Intermediate
365,Neural Networks,PyTorch,Intermediate
366,Pandas for Data Analysis,Linear Algebra,Intermediate
367,PyTorch for Deep Learning,Data Analysis,Advanced
368,Python Basics,Numpy,Intermediate
369,TensorFlow Crash Course,Data Analysis,Advanced
370,Pandas for Data Analysis,Numpy,Beginner
371,Python Basics,Deep Learning,Intermediate
372,SQL for Data Science,Linear Algebra,Beginner
373,SQL for Data Science,SQL,Beginner
374,Deep Learning Fundamentals,Python,Advanced
375,Data Visualization with Python,Data Visualization,Beginner
376,TensorFlow Crash Course,Pandas,Beginner
377,Neural Networks,Data Analysis,Advanced
378,Pandas for Data Analysis,Data Analysis,Beginner
379,SQL for Data Science,Statistics,Advanced
380,Python Basics,Linear Algebra,Intermediate
381,Deep Learning Fundamentals,Deep Learning,Beginner
382,Pandas for Data Analysis,Statistics,Beginner
383,PyTorch for Deep Learning,TensorFlow,Intermediate
384,Data Visualization with Python,TensorFlow,Advanced
385,SQL for Data Science,Statistics,Beginner
386,PyTorch for Deep Learning,Data Analysis,Advanced
387,Machine Learning Intro,Machine Learning,Advanced
388,Advanced Python,Data Visualization,Intermediate
389,Python Basics,Data Visualization,Intermediate
390,Pandas for Data Analysis,Data Analysis,Advanced
391,PyTorch for Deep Learning,PyTorch,Beginner
392,Python Basics,Linear Algebra,Advanced
393,PyTorch for Deep Learning,Statistics,Beginner
394,Statistics for Data Science,Statistics,Beginner
395,PyTorch for Deep Learning,Pandas,Intermediate
396,TensorFlow Crash Course,Data Visualization,Intermediate
397,Numpy Fundamentals,Deep Learning,Beginner
398,Statistics for Data Science,SQL,Intermediate
399,Statistics for Data Science,Pandas,Intermediate
400,SQL for Data Science,PyTorch,Intermediate
401,Advanced Python,Machine Learning,Advanced
402,Neural Networks,Python,Beginner
403,Numpy Fundamentals,Statistics,Beginner
404,Advanced Python,Python,Advanced
405,Deep Learning Fundamentals,Data Analysis,Advanced
406,Python Basics,Pandas,Intermediate
407,Statistics for Data Science,Machine Learning,Advanced
408,Neural Networks,PyTorch,Intermediate
409,Data Visualization with Python,TensorFlow,Advanced
410,Data Visualization with Python,Deep Learning,Intermediate
411,Advanced Python,PyTorch,Intermediate
412,SQL for Data Science,Data Visualization,Advanced
413,Advanced Python,Machine Learning,Intermediate
414,Numpy Fundamentals,PyTorch,Beginner
415,Numpy Fundamentals,Data Visualization,Advanced
416,TensorFlow Crash Course,Data Analysis,Intermediate
417,Pandas for Data Analysis,Python,Intermediate
418,SQL for Data Science,Linear Algebra,Beginner
419,Deep Learning Fundamentals,Numpy,Intermediate
420,Pandas for Data Analysis,PyTorch,Advanced
421,Machine Learning Intro,Data Visualization,Advanced
422,SQL for Data Science,Machine Learning,Intermediate
423,Statistics for Data Science,Deep Learning,Beginner
424,Pandas for Data Analysis,Deep Learning,Intermediate
425,Advanced Python,Data Visualization,Advanced
426,Python Basics,Machine Learning,Beginner
427,Advanced Python,Statistics,Intermediate
428,Advanced Python,Data Analysis,Beginner
429,SQL for Data Science,Python,Beginner
430,PyTorch for Deep Learning,Pandas,Intermediate
431,TensorFlow Crash Course,Python,Beginner
432,Statistics for Data Science,Machine Learning,Intermediate
433,Neural Networks,Pandas,Intermediate
434,Machine Learning Intro,PyTorch,Beginner
435,SQL for Data Science,Statistics,Beginner
436,Advanced Python,SQL,Beginner
437,Pandas for Data Analysis,SQL,Advanced
438,TensorFlow Crash Course,Machine Learning,Beginner
439,Statistics for Data Science,Statistics,Advanced
440,Numpy Fundamentals,Statistics,Beginner
441,Machine Learning Intro,PyTorch,Intermediate
442,Data Visualization with Python,SQL,Advanced
443,Advanced Python,PyTorch,Intermediate
444,Statistics for Data Science,Numpy,Beginner
445,Pandas for Data Analysis,Pandas,Beginner
446,Neural Networks,SQL,Intermediate
447,Statistics for Data Science,PyTorch,Intermediate
448,Data Visualization with Python,Data Analysis,Intermediate
449,Numpy Fundamentals,Machine Learning,Intermediate
450,SQL for Data Science,SQL,Intermediate
451,Deep Learning Fundamentals,PyTorch,Beginner
452,Numpy Fundamentals,Data Visualization,Beginner
453,Python Basics,Deep Learning,Advanced
454,Neural Networks,Data Analysis,Intermediate
455,Pandas for Data Analysis,Statistics,Intermediate
456,TensorFlow Crash Course,Data Analysis,Beginner
457,PyTorch for Deep Learning,Numpy,Advanced
458,TensorFlow Crash Course,SQL,Advanced
459,Statistics for Data Science,SQL,Beginner
460,Deep Learning Fundamentals,PyTorch,Beginner
461,TensorFlow Crash Course,TensorFlow,Intermediate
462,Data Visualization with Python,Numpy,Advanced
463,PyTorch for Deep Learning,PyTorch,Advanced
464,Statistics for Data Science,Numpy,Advanced
465,SQL for Data Science,Machine Learning,Intermediate
466,Data Visualization with Python,Linear Algebra,Advanced
467,Statistics for Data Science,SQL,Beginner
468,Advanced Python,PyTorch,Advanced
469,PyTorch for Deep Learning,Pandas,Intermediate
470,SQL for Data Science,Machine Learning,Beginner
471,Numpy Fundamentals,Numpy,Beginner
472,PyTorch for Deep Learning,Deep Learning,Beginner
473,Machine Learning Intro,PyTorch,Advanced
474,Advanced Python,Linear Algebra,Beginner
475,Machine Learning Intro,PyTorch,Advanced
476,SQL for Data Science,Data Visualization,Intermediate
477,Advanced Python,Data Visualization,Beginner
478,Advanced Python,PyTorch,Intermediate
479,PyTorch for Deep Learning,PyTorch,Advanced
480,Machine Learning Intro,Numpy,Intermediate
481,Neural Networks,PyTorch,Intermediate
482,Statistics for Data Science,Pandas,Advanced
483,SQL for Data Science,Numpy,Advanced
484,Python Basics,TensorFlow,Beginner
485,Machine Learning Intro,TensorFlow,Beginner
486,TensorFlow Crash Course,Deep Learning,Beginner
487,Python Basics,Python,Intermediate
488,Deep Learning Fundamentals,PyTorch,Advanced
489,Deep Learning Fundamentals,SQL,Intermediate
490,Neural Networks,Machine Learning,Intermediate
491,TensorFlow Crash Course,TensorFlow,Intermediate
492,Machine Learning Intro,Linear Algebra,Intermediate
493,Numpy Fundamentals,SQL,Beginner
494,Numpy Fundamentals,Python,Intermediate
495,SQL for Data Science,Statistics,Beginner
496,Data Visualization with Python,Statistics,Advanced
497,Python Basics,Statistics,Intermediate
498,Statistics for Data Science,Data Visualization,Advanced
499,Pandas for Data Analysis,PyTorch,Advanced
500,Advanced Python,Deep Learning,Beginner
501,Pandas for Data Analysis,TensorFlow,Advanced
502,Machine Learning Intro,SQL,Beginner
503,Deep Learning Fundamentals,SQL,Intermediate
504,SQL for Data Science,Linear Algebra,Advanced
505,TensorFlow Crash Course,Pandas,Intermediate
506,Numpy Fundamentals,Machine Learning,Advanced
507,SQL for Data Science,TensorFlow,Beginner
508,Python Basics,Data Visualization,Intermediate
509,Neural Networks,Machine Learning,Intermediate
510,Python Basics,Python,Beginner
511,Data Visualization with Python,Python,Advanced
512,Advanced Python,Linear Algebra,Beginner
513,Data Visualization with Python,PyTorch,Advanced
514,PyTorch for Deep Learning,PyTorch,Advanced
515,SQL for Data Science,Numpy,Intermediate
516,PyTorch for Deep Learning,Python,Advanced
517,SQL for Data Science,Pandas,Intermediate
518,Data Visualization with Python,Numpy,Advanced
519,Advanced Python,SQL,Beginner
520,Numpy Fundamentals,Pandas,Intermediate
521,Python Basics,Data Visualization,Beginner
522,Statistics for Data Science,Numpy,Beginner
523,Deep Learning Fundamentals,Python,Beginner
524,Python Basics,Data Analysis,Advanced
525,Numpy Fundamentals,Data Analysis,Advanced
526,Statistics for Data Science,Machine Learning,Advanced
527,Numpy Fundamentals,Statistics,Beginner
528,Pandas for Data Analysis,Pandas,Beginner
529,Neural Networks,Statistics,Beginner
530,Machine Learning Intro,Machine Learning,Intermediate
531,SQL for Data Science,Data Analysis,Beginner
532,Neural Networks,Statistics,Advanced
533,PyTorch for Deep Learning,Pandas,Advanced
534,Deep Learning Fundamentals,Machine Learning,Beginner
535,Data Visualization with Python,Python,Intermediate
536,Python Basics,TensorFlow,Beginner
537,Python Basics,Data Analysis,Advanced
538,Machine Learning Intro,Machine Learning,Beginner
539,Numpy Fundamentals,Python,Intermediate
540,Numpy Fundamentals,TensorFlow,Beginner
541,Advanced Python,Deep Learning,Intermediate
542,TensorFlow Crash Course,Linear Algebra,Intermediate
543,Neural Networks,Data Visualization,Beginner
544,Advanced Python,PyTorch,Intermediate
545,Machine Learning Intro,Numpy,Beginner
546,SQL for Data Science,Machine Learning,Intermediate
547,Neural Networks,Statistics,Intermediate
548,SQL for Data Science,Linear Algebra,Advanced
549,Deep Learning Fundamentals,Data Visualization,Advanced
550,SQL for Data Science,TensorFlow,Advanced
551,Statistics for Data Science,Linear Algebra,Intermediate
552,Neural Networks,Data Visualization,Beginner
553,PyTorch for Deep Learning,Pandas,Advanced
554,Numpy Fundamentals,SQL,Advanced
555,Python Basics,Deep Learning,Beginner
556,Neural Networks,PyTorch,Advanced
557,Neural Networks,TensorFlow,Advanced
558,Machine Learning Intro,Numpy,Intermediate
559,Advanced Python,Data Visualization,Intermediate
560,Statistics for Data Science,Numpy,Beginner
561,TensorFlow Crash Course,Machine Learning,Advanced
562,TensorFlow Crash Course,PyTorch,Advanced
563,Machine Learning Intro,PyTorch,Intermediate
564,Neural Networks,Numpy,Beginner
565,Neural Networks,Deep Learning,Beginner
566,Advanced Python,Statistics,Beginner
567,TensorFlow Crash Course,Statistics,Intermediate
568,Advanced Python,Data Visualization,Intermediate
569,Machine Learning Intro,Statistics,Advanced
570,TensorFlow Crash Course,Data Visualization,Intermediate
571,Deep Learning Fundamentals,TensorFlow,Advanced
572,Data Visualization with Python,Pandas,Advanced
573,Advanced Python,TensorFlow,Beginner
574,Deep Learning Fundamentals,PyTorch,Beginner
575,TensorFlow Crash Course,Data Analysis,Beginner
576,Numpy Fundamentals,Pandas,Intermediate
577,SQL for Data Science,PyTorch,Beginner
578,PyTorch for Deep Learning,Machine Learning,Intermediate
579,Neural Networks,Linear Algebra,Advanced
580,Neural Networks,Machine Learning,Advanced
581,Data Visualization with Python,TensorFlow,Advanced
582,Statistics for Data Science,Python,Intermediate
583,Advanced Python,Deep Learning,Intermediate
584,Advanced Python,Statistics,Advanced
585,PyTorch for Deep Learning,Statistics,Advanced
586,Deep Learning Fundamentals,Deep Learning,Advanced
587,Data Visualization with Python,TensorFlow,Intermediate
588,Statistics for Data Science,Statistics,Advanced
589,Pandas for Data Analysis,Python,Beginner
590,TensorFlow Crash Course,Python,Advanced
591,Deep Learning Fundamentals,Machine Learning,Beginner
592,Advanced Python,Numpy,Beginner
593,Machine Learning Intro,Linear Algebra,Advanced
594,Numpy Fundamentals,Machine Learning,Advanced
595,Data Visualization with Python,Pandas,Beginner
596,TensorFlow Crash Course,Numpy,Beginner
597,Python Basics,Deep Learning,Intermediate
