course_id,course_name,skill,difficulty,rating,duration_hours,num_students
48,Linear Algebra Course,Linear Algebra,Advanced,4.09,4,257055
49,Natural Language Processing,NLP,Intermediate,4.15,5,380207
50,Data Analysis Course,Data Analysis,Advanced,4.63,31,295355
51,Linear Algebra Course,Linear Algebra,Intermediate,4.68,10,93035
52,Probability Course,Probability,Advanced,4.65,32,485313
53,TensorFlow Crash Course,TensorFlow,Advanced,3.53,3,369743
54,PyTorch for Deep Learning,PyTorch,Advanced,4.0,30,119566
55,Statistics for Data Science,Statistics,Intermediate,3.62,37,58669
56,PyTorch for Deep Learning,PyTorch,Intermediate,4.94,8,22499
57,Data Analysis Course,Data Analysis,Intermediate,4.77,15,165667
58,Deep Learning Fundamentals,Deep Learning,Advanced,4.59,33,234199
59,Data Analysis Course,Data Analysis,Beginner,4.88,34,378434
60,Pandas for Data Analysis,Pandas,Beginner,4.64,10,284843
61,TensorFlow Crash Course,TensorFlow,Intermediate,3.94,19,40661
62,Computer Vision Basics,Computer Vision,Beginner,4.17,22,85149
63,Probability Course,Probability,Intermediate,4.74,16,5706
64,Natural Language Processing,NLP,Advanced,3.69,33,316188
65,Computer Vision Basics,Computer Vision,Beginner,3.9,18,278063
66,Pandas for Data Analysis,Pandas,Intermediate,4.6,37,325866
67,Neural Networks,Deep Learning,Beginner,4.97,6,163928
68,Numpy Fundamentals,Numpy,Intermediate,4.76,38,167641
69,Statistics for Data Science,Statistics,Intermediate,4.33,5,437785
70,Probability Course,Probability,Beginner,3.58,22,360659
71,Pandas for Data Analysis,Pandas,Advanced,3.56,22,92108
72,Pandas for Data Analysis,Pandas,Beginner,3.99,6,18059
73,PyTorch for Deep Learning,PyTorch,Intermediate,3.61,33,89083
74,TensorFlow Crash Course,TensorFlow,Beginner,4.87,22,399870
75,Statistics for Data Science,Statistics,Beginner,4.06,18,218175
76,TensorFlow Crash Course,TensorFlow,Advanced,4.09,32,330926
77,Pandas for Data Analysis,Pandas,Advanced,4.22,8,287436
78,Statistics for Data Science,Statistics,Intermediate,3.95,38,45657
79,Natural Language Processing,NLP,Intermediate,4.07,5,24966
80,Linear Algebra Course,Linear Algebra,Advanced,4.81,26,79274
81,Data Visualization with Python,Data Visualization,Intermediate,3.73,19,359616
82,Pandas for Data Analysis,Pandas,Beginner,3.81,17,82217
83,Linear Algebra Course,Linear Algebra,Intermediate,4.9,26,336123
84,Neural Networks,Deep Learning,Beginner,3.7,38,246712
85,Statistics for Data Science,Statistics,Beginner,4.64,12,414303
86,Natural Language Processing,NLP,Advanced,4.84,12,242943
87,Pandas for Data Analysis,Pandas,Beginner,3.95,30,35520
88,Linear Algebra Course,Linear Algebra,Intermediate,4.34,40,149454
89,Probability Course,Probability,Beginner,3.76,5,293847
90,PyTorch for Deep Learning,PyTorch,Intermediate,4.92,22,165706
91,Computer Vision Basics,Computer Vision,Intermediate,4.65,31,197056
92,Pandas for Data Analysis,Pandas,Intermediate,4.37,13,132031
93,PyTorch for Deep Learning,PyTorch,Intermediate,4.5,5,63803
94,Deep Learning Fundamentals,Deep Learning,Intermediate,3.65,40,47589
95,Data Visualization with Python,Data Visualization,Intermediate,3.99,14,84393
96,Numpy Fundamentals,Numpy,Beginner,4.18,22,303647
97,Pandas for Data Analysis,Pandas,Beginner,4.79,26,425281
98,Data Visualization with Python,Data Visualization,Advanced,3.87,25,177487
99,Statistics for Data Science,Statistics,Advanced,4.82,37,200432
100,Numpy Fundamentals,Numpy,Intermediate,4.46,40,83940
101,ML Algorithms,Machine Learning,Intermediate,4.64,26,128056
102,Probability Course,Probability,Beginner,4.14,16,40853
103,Numpy Fundamentals,Numpy,Intermediate,4.9,9,307920
104,Statistics for Data Science,Statistics,Advanced,3.59,7,462776
105,Deep Learning Fundamentals,Deep Learning,Beginner,3.57,18,31576
106,Natural Language Processing,NLP,Intermediate,3.78,30,129580
107,Numpy Fundamentals,Numpy,Intermediate,4.22,6,130702
108,Probability Course,Probability,Advanced,4.34,24,197794
109,Advanced Python,Python,Beginner,4.87,8,466792
110,Computer Vision Basics,Computer Vision,Advanced,4.52,39,405073
111,Probability Course,Probability,Advanced,3.75,13,107022
112,Data Analysis Course,Data Analysis,Beginner,4.33,14,399777
113,Python Basics,Python,Advanced,3.9,35,317778
114,Pandas for Data Analysis,Pandas,Intermediate,4.91,28,470525
115,Data Analysis Course,Data Analysis,Beginner,3.67,12,95926
116,Neural Networks,Deep Learning,Intermediate,4.26,3,95135
117,Computer Vision Basics,Computer Vision,Intermediate,3.62,33,354373
118,TensorFlow Crash Course,TensorFlow,Beginner,4.7,21,137218
119,Statistics for Data Science,Statistics,Intermediate,4.95,9,95940
120,ML Algorithms,Machine Learning,Beginner,4.39,7,279419
121,Machine Learning Intro,Machine Learning,Intermediate,4.02,7,326496
122,Neural Networks,Deep Learning,Intermediate,4.01,22,265123
123,Statistics for Data Science,Statistics,Intermediate,3.67,21,488145
124,SQL for Data Science,SQL,Beginner,4.73,34,312939
125,Machine Learning Intro,Machine Learning,Intermediate,3.74,15,257869
126,Computer Vision Basics,Computer Vision,Beginner,4.33,17,24694
127,Linear Algebra Course,Linear Algebra,Beginner,4.83,26,457063
128,ML Algorithms,Machine Learning,Intermediate,4.54,34,204299
129,Data Visualization with Python,Data Visualization,Advanced,4.33,24,183783
130,TensorFlow Crash Course,TensorFlow,Intermediate,3.99,23,201846
131,Probability Course,Probability,Advanced,4.54,39,460247
132,Linear Algebra Course,Linear Algebra,Beginner,4.95,33,410168
133,TensorFlow Crash Course,TensorFlow,Advanced,4.22,11,471813
134,SQL for Data Science,SQL,Intermediate,3.84,22,340665
135,Computer Vision Basics,Computer Vision,Intermediate,3.97,4,277193
136,Natural Language Processing,NLP,Advanced,3.53,38,112099
137,SQL for Data Science,SQL,Advanced,4.74,23,201754
138,Natural Language Processing,NLP,Beginner,4.56,10,34783
139,Computer Vision Basics,Computer Vision,Intermediate,4.54,22,151253
140,Computer Vision Basics,Computer Vision,Intermediate,4.27,8,177081
141,Data Visualization with Python,Data Visualization,Beginner,4.93,22,375878
142,Machine Learning Intro,Machine Learning,Advanced,3.81,2,133902
143,Probability Course,Probability,Advanced,3.9,6,466949
144,Python for Data Science,Python,Beginner,3.56,18,129138
145,TensorFlow Crash Course,TensorFlow,Beginner,4.31,37,218026
146,SQL for Data Science,SQL,Intermediate,4.6,18,78042
147,Advanced Python,Python,Intermediate,4.71,11,237523
148,PyTorch for Deep Learning,PyTorch,Beginner,4.9,40,311005
149,Linear Algebra Course,Linear Algebra,Beginner,3.92,36,350104
150,TensorFlow Crash Course,TensorFlow,Beginner,3.56,38,63714
151,Computer Vision Basics,Computer Vision,Advanced,3.77,9,193593
152,Data Analysis Course,Data Analysis,Intermediate,4.26,8,102503
153,Neural Networks,Deep Learning,Advanced,3.8,39,373235
154,PyTorch for Deep Learning,PyTorch,Beginner,4.0,16,327083
155,Statistics for Data Science,Statistics,Advanced,4.35,20,363190
156,Pandas for Data Analysis,Pandas,Intermediate,3.57,26,469271
157,Numpy Fundamentals,Numpy,Advanced,4.92,12,282203
158,Probability Course,Probability,Intermediate,4.07,27,104926
159,Linear Algebra Course,Linear Algebra,Intermediate,3.58,32,441548
160,Python for Data Science,Python,Intermediate,4.42,7,293498
161,Natural Language Processing,NLP,Advanced,4.99,16,92276
162,Linear Algebra Course,Linear Algebra,Beginner,4.75,4,63683
163,Computer Vision Basics,Computer Vision,Intermediate,4.22,40,109854
164,Natural Language Processing,NLP,Advanced,4.16,3,44404
165,PyTorch for Deep Learning,PyTorch,Beginner,4.17,14,173180
166,Numpy Fundamentals,Numpy,Intermediate,3.89,12,346738
167,Data Visualization with Python,Data Visualization,Advanced,4.95,27,152449
168,Machine Learning Intro,Machine Learning,Beginner,4.82,30,484943
169,Numpy Fundamentals,Numpy,Intermediate,3.68,26,326429
170,Pandas for Data Analysis,Pandas,Beginner,4.25,9,100217
171,SQL for Data Science,SQL,Advanced,4.23,33,344940
172,Probability Course,Probability,Advanced,4.52,14,183239
173,SQL for Data Science,SQL,Advanced,4.95,31,209901
174,Linear Algebra Course,Linear Algebra,Advanced,4.55,2,17219
175,Linear Algebra Course,Linear Algebra,Intermediate,4.73,30,338276
176,Numpy Fundamentals,Numpy,Beginner,4.87,2,293071
177,Statistics for Data Science,Statistics,Beginner,4.86,13,12544
178,Natural Language Processing,NLP,Advanced,4.94,7,414638
179,SQL for Data Science,SQL,Intermediate,4.04,11,199862
180,Linear Algebra Course,Linear Algebra,Advanced,4.15,14,465802
181,Pandas for Data Analysis,Pandas,Advanced,4.3,14,394235
182,Pandas for Data Analysis,Pandas,Advanced,4.72,35,439084
183,Neural Networks,Deep Learning,Intermediate,4.29,21,398351
184,Pandas for Data Analysis,Pandas,Advanced,4.41,7,306540
185,Numpy Fundamentals,Numpy,Intermediate,3.63,30,297304
186,Neural Networks,Deep Learning,Beginner,4.45,28,169836
187,Deep Learning Fundamentals,Deep Learning,Advanced,4.44,35,419430
188,Linear Algebra Course,Linear Algebra,Beginner,4.55,30,376132
189,PyTorch for Deep Learning,PyTorch,Advanced,3.87,16,412165
190,Data Visualization with Python,Data Visualization,Intermediate,3.67,22,192491
191,PyTorch for Deep Learning,PyTorch,Beginner,3.92,25,302848
192,SQL for Data Science,SQL,Advanced,4.99,2,72447
193,Probability Course,Probability,Intermediate,3.84,6,256069
194,Natural Language Processing,NLP,Intermediate,3.82,39,362559
195,Pandas for Data Analysis,Pandas,Intermediate,3.64,23,84565
196,Natural Language Processing,NLP,Intermediate,4.39,17,68926
197,Deep Learning Fundamentals,Deep Learning,Advanced,4.81,14,466792
198,Probability Course,Probability,Beginner,4.62,4,324515
199,Probability Course,Probability,Intermediate,4.85,7,146064
200,TensorFlow Crash Course,TensorFlow,Intermediate,4.08,13,163443
201,PyTorch for Deep Learning,PyTorch,Advanced,4.12,17,145589
202,TensorFlow Crash Course,TensorFlow,Advanced,4.55,37,491991
203,Deep Learning Fundamentals,Deep Learning,Beginner,4.32,11,177030
204,Machine Learning Intro,Machine Learning,Intermediate,4.88,35,430272
205,Numpy Fundamentals,Numpy,Intermediate,4.08,21,415266
206,SQL for Data Science,SQL,Advanced,3.81,9,186519
207,Computer Vision Basics,Computer Vision,Intermediate,4.59,28,28011
208,Linear Algebra Course,Linear Algebra,Beginner,3.54,19,478789
209,Python for Data Science,Python,Beginner,4.42,14,211101
210,Data Analysis Course,Data Analysis,Intermediate,4.97,28,209552
211,Numpy Fundamentals,Numpy,Advanced,4.51,29,461263
212,ML Algorithms,Machine Learning,Advanced,4.15,40,107019
213,TensorFlow Crash Course,TensorFlow,Intermediate,4.8,20,269915
214,Statistics for Data Science,Statistics,Intermediate,4.53,15,43486
215,Probability Course,Probability,Beginner,4.81,26,416903
216,Deep Learning Fundamentals,Deep Learning,Advanced,3.91,11,44925
217,Machine Learning Intro,Machine Learning,Intermediate,3.68,4,244640
218,Pandas for Data Analysis,Pandas,Intermediate,3.51,34,398625
219,Pandas for Data Analysis,Pandas,Intermediate,3.73,17,149360
220,Numpy Fundamentals,Numpy,Advanced,4.54,32,418399
221,Computer Vision Basics,Computer Vision,Intermediate,4.36,30,297029
222,Pandas for Data Analysis,Pandas,Advanced,4.18,2,488568
223,SQL for Data Science,SQL,Intermediate,4.46,32,329248
224,PyTorch for Deep Learning,PyTorch,Beginner,4.28,18,288557
225,Data Analysis Course,Data Analysis,Advanced,4.94,3,18065
226,Machine Learning Intro,Machine Learning,Beginner,4.36,38,102092
227,Machine Learning Intro,Machine Learning,Intermediate,4.33,39,47809
228,Natural Language Processing,NLP,Beginner,4.08,7,52910
229,Linear Algebra Course,Linear Algebra,Beginner,4.58,36,162642
230,Natural Language Processing,NLP,Beginner,3.9,11,366705
231,Data Visualization with Python,Data Visualization,Advanced,4.5,17,43176
232,Neural Networks,Deep Learning,Advanced,4.98,26,382208
233,Numpy Fundamentals,Numpy,Advanced,3.67,22,331921
234,Natural Language Processing,NLP,Advanced,3.6,18,119668
235,PyTorch for Deep Learning,PyTorch,Intermediate,4.64,8,497346
236,Statistics for Data Science,Statistics,Advanced,3.69,20,28775
237,Numpy Fundamentals,Numpy,Advanced,3.59,4,282671
238,Data Analysis Course,Data Analysis,Beginner,4.41,39,357323
239,Python for Data Science,Python,Intermediate,3.79,29,248176
240,Computer Vision Basics,Computer Vision,Beginner,3.85,4,265492
241,Linear Algebra Course,Linear Algebra,Beginner,4.38,23,489821
242,SQL for Data Science,SQL,Advanced,4.96,27,4598
243,Numpy Fundamentals,Numpy,Beginner,4.34,40,283666
244,Statistics for Data Science,Statistics,Intermediate,4.93,6,346080
245,Natural Language Processing,NLP,Intermediate,4.18,11,361768
246,Statistics for Data Science,Statistics,Advanced,4.36,39,302431
247,Data Visualization with Python,Data Visualization,Advanced,4.54,16,99828
248,Probability Course,Probability,Beginner,4.75,28,439186
249,Statistics for Data Science,Statistics,Beginner,3.86,35,262820
250,Statistics for Data Science,Statistics,Advanced,3.72,32,51414
251,Data Visualization with Python,Data Visualization,Beginner,4.02,12,249255
252,Computer Vision Basics,Computer Vision,Beginner,4.16,6,160772
253,Data Analysis Course,Data Analysis,Advanced,3.69,9,405322
254,Natural Language Processing,NLP,Intermediate,4.33,33,486328
255,Numpy Fundamentals,Numpy,Beginner,4.46,30,148021
256,Pandas for Data Analysis,Pandas,Advanced,4.08,17,43610
257,Data Visualization with Python,Data Visualization,Beginner,3.61,15,381640
258,ML Algorithms,Machine Learning,Intermediate,4.48,36,256213
259,Numpy Fundamentals,Numpy,Advanced,4.43,27,374658
260,Data Analysis Course,Data Analysis,Beginner,4.75,30,433416
261,Natural Language Processing,NLP,Intermediate,4.07,11,2442
262,Data Analysis Course,Data Analysis,Beginner,4.08,15,212308
263,Computer Vision Basics,Computer Vision,Advanced,3.6,24,71894
264,PyTorch for Deep Learning,PyTorch,Advanced,4.74,14,179304
265,Machine Learning Intro,Machine Learning,Intermediate,4.06,9,440980
266,Pandas for Data Analysis,Pandas,Intermediate,4.49,35,387131
267,PyTorch for Deep Learning,PyTorch,Beginner,4.12,34,479331
268,Python Basics,Python,Beginner,4.35,30,394162
269,Computer Vision Basics,Computer Vision,Beginner,4.39,10,330585
270,Statistics for Data Science,Statistics,Advanced,4.25,4,47007
271,Probability Course,Probability,Intermediate,4.3,31,465430
272,Natural Language Processing,NLP,Beginner,3.97,19,170334
273,Pandas for Data Analysis,Pandas,Intermediate,4.41,20,239353
274,PyTorch for Deep Learning,PyTorch,Intermediate,3.63,19,406796
275,Data Visualization with Python,Data Visualization,Beginner,4.17,36,366815
276,Advanced Python,Python,Intermediate,3.56,11,368839
277,Statistics for Data Science,Statistics,Beginner,4.32,17,115557
278,Statistics for Data Science,Statistics,Intermediate,3.65,32,68880
279,Data Visualization with Python,Data Visualization,Advanced,4.63,5,488813
280,SQL for Data Science,SQL,Beginner,4.92,31,3377
281,Probability Course,Probability,Beginner,3.82,14,318281
282,Data Visualization with Python,Data Visualization,Advanced,4.08,19,75969
283,Pandas for Data Analysis,Pandas,Beginner,3.53,38,286146
284,Machine Learning Intro,Machine Learning,Advanced,3.81,30,147603
285,ML Algorithms,Machine Learning,Advanced,4.54,37,399337
286,Probability Course,Probability,Advanced,4.99,14,116849
287,Natural Language Processing,NLP,Beginner,3.64,28,433523
288,Advanced Python,Python,Advanced,4.14,22,411190
289,Python for Data Science,Python,Beginner,4.57,29,417932
290,Neural Networks,Deep Learning,Advanced,3.73,13,228701
291,Numpy Fundamentals,Numpy,Advanced,4.95,39,252936
292,Machine Learning Intro,Machine Learning,Intermediate,4.32,18,157179
293,SQL for Data Science,SQL,Beginner,4.88,6,312649
294,Computer Vision Basics,Computer Vision,Beginner,3.79,20,339608
295,Numpy Fundamentals,Numpy,Beginner,4.52,33,236755
296,Probability Course,Probability,Intermediate,3.57,39,242235
297,Neural Networks,Deep Learning,Beginner,3.84,38,331524
298,SQL for Data Science,SQL,Beginner,4.84,33,251406
299,TensorFlow Crash Course,TensorFlow,Intermediate,4.24,33,50807
300,PyTorch for Deep Learning,PyTorch,Beginner,4.08,17,40881
301,Pandas for Data Analysis,Pandas,Intermediate,4.08,30,132521
302,TensorFlow Crash Course,TensorFlow,Advanced,4.43,10,101471
303,PyTorch for Deep Learning,PyTorch,Intermediate,3.63,7,494919
304,Neural Networks,Deep Learning,Advanced,3.83,14,406653
305,Numpy Fundamentals,Numpy,Advanced,4.54,37,27040
306,SQL for Data Science,SQL,Beginner,4.68,11,321540
307,TensorFlow Crash Course,TensorFlow,Beginner,4.15,24,373107
308,Python Basics,Python,Beginner,3.52,16,427295
309,SQL for Data Science,SQL,Intermediate,3.59,11,228653
310,Pandas for Data Analysis,Pandas,Advanced,3.79,34,272735
311,Linear Algebra Course,Linear Algebra,Beginner,4.61,29,425974
312,Advanced Python,Python,Beginner,4.72,16,164970
313,Natural Language Processing,NLP,Beginner,4.92,38,154055
314,Pandas for Data Analysis,Pandas,Beginner,4.85,4,277612
315,Deep Learning Fundamentals,Deep Learning,Intermediate,4.35,3,227545
316,Linear Algebra Course,Linear Algebra,Advanced,3.51,24,375682
317,TensorFlow Crash Course,TensorFlow,Beginner,4.42,7,260443
318,Python Basics,Python,Advanced,3.56,9,99952
319,Python Basics,Python,Intermediate,4.61,24,330302
320,Linear Algebra Course,Linear Algebra,Beginner,4.28,39,311360
321,Data Visualization with Python,Data Visualization,Advanced,4.96,6,376410
322,Data Analysis Course,Data Analysis,Beginner,3.9,18,76074
323,SQL for Data Science,SQL,Advanced,3.9,15,402408
324,Computer Vision Basics,Computer Vision,Beginner,4.28,10,201682
325,Pandas for Data Analysis,Pandas,Beginner,4.5,8,12983
326,SQL for Data Science,SQL,Intermediate,4.77,10,169215
327,PyTorch for Deep Learning,PyTorch,Beginner,4.16,28,177555
328,Natural Language Processing,NLP,Advanced,4.09,15,414545
329,Linear Algebra Course,Linear Algebra,Advanced,4.8,11,412616
330,Numpy Fundamentals,Numpy,Intermediate,3.57,31,417431
331,SQL for Data Science,SQL,Intermediate,3.78,30,72455
332,Statistics for Data Science,Statistics,Advanced,4.45,8,146909
333,Python for Data Science,Python,Advanced,4.77,12,307509
334,Machine Learning Intro,Machine Learning,Advanced,3.61,9,301206
335,Statistics for Data Science,Statistics,Beginner,4.37,19,371272
336,Numpy Fundamentals,Numpy,Intermediate,4.31,18,205290
337,Pandas for Data Analysis,Pandas,Beginner,3.53,40,1702
338,PyTorch for Deep Learning,PyTorch,Intermediate,4.54,7,332801
339,Numpy Fundamentals,Numpy,Advanced,4.31,28,150337
340,Python Basics,Python,Advanced,4.09,10,209894
341,Advanced Python,Python,Advanced,4.94,31,3934
342,Linear Algebra Course,Linear Algebra,Intermediate,4.6,5,471504
343,Linear Algebra Course,Linear Algebra,Intermediate,3.99,15,397374
344,Pandas for Data Analysis,Pandas,Intermediate,4.87,12,307386
345,Linear Algebra Course,Linear Algebra,Advanced,4.09,28,494751
346,Pandas for Data Analysis,Pandas,Advanced,3.68,12,444703
347,Python for Data Science,Python,Intermediate,4.52,24,360624
348,Pandas for Data Analysis,Pandas,Intermediate,4.29,27,305388
349,Probability Course,Probability,Advanced,4.5,21,274090
350,ML Algorithms,Machine Learning,Intermediate,4.81,35,123101
351,Data Analysis Course,Data Analysis,Intermediate,3.58,31,459188
352,Probability Course,Probability,Intermediate,4.24,38,194683
353,Data Analysis Course,Data Analysis,Intermediate,3.84,40,252050
354,Statistics for Data Science,Statistics,Intermediate,4.47,19,234670
355,Linear Algebra Course,Linear Algebra,Intermediate,3.7,6,318360
356,Neural Networks,Deep Learning,Advanced,4.13,21,171402
357,PyTorch for Deep Learning,PyTorch,Intermediate,4.56,36,57636
358,PyTorch for Deep Learning,PyTorch,Advanced,3.63,11,69210
359,ML Algorithms,Machine Learning,Intermediate,4.12,8,260098
360,TensorFlow Crash Course,TensorFlow,Advanced,4.06,40,367180
361,Deep Learning Fundamentals,Deep Learning,Advanced,4.72,7,176168
362,Pandas for Data Analysis,Pandas,Intermediate,4.47,15,99831
363,Python for Data Science,Python,Beginner,4.82,33,87598
364,Pandas for Data Analysis,Pandas,Beginner,3.63,38,48304
365,Linear Algebra Course,Linear Algebra,Advanced,4.21,6,445826
366,SQL for Data Science,SQL,Beginner,4.15,30,165604
367,Deep Learning Fundamentals,Deep Learning,Advanced,4.28,27,480593
368,Data Visualization with Python,Data Visualization,Advanced,3.61,20,447949
369,Natural Language Processing,NLP,Beginner,4.83,2,361885
370,Pandas for Data Analysis,Pandas,Intermediate,5.0,22,424413
371,Deep Learning Fundamentals,Deep Learning,Advanced,4.23,37,456571
372,Statistics for Data Science,Statistics,Beginner,4.41,39,452017
373,PyTorch for Deep Learning,PyTorch,Advanced,3.87,12,181787
374,Computer Vision Basics,Computer Vision,Intermediate,4.97,14,128175
375,Data Visualization with Python,Data Visualization,Intermediate,4.52,7,264816
376,Linear Algebra Course,Linear Algebra,Intermediate,3.82,22,387628
377,Natural Language Processing,NLP,Advanced,3.96,38,77933
378,Probability Course,Probability,Intermediate,4.46,26,193727
379,Natural Language Processing,NLP,Intermediate,3.93,20,120088
380,Probability Course,Probability,Beginner,3.63,14,294669
381,Numpy Fundamentals,Numpy,Beginner,3.62,3,291951
382,Numpy Fundamentals,Numpy,Advanced,3.5,3,426772
383,Numpy Fundamentals,Numpy,Advanced,3.83,28,187164
384,SQL for Data Science,SQL,Beginner,4.62,9,161946
385,Linear Algebra Course,Linear Algebra,Advanced,3.96,10,428896
386,PyTorch for Deep Learning,PyTorch,Beginner,4.28,8,477897
387,Python for Data Science,Python,Advanced,4.18,15,231008
388,Python Basics,Python,Intermediate,4.45,33,50334
389,Neural Networks,Deep Learning,Beginner,3.96,32,38693
390,Computer Vision Basics,Computer Vision,Intermediate,4.39,7,332401
391,Statistics for Data Science,Statistics,Beginner,3.85,28,96297
392,Data Visualization with Python,Data Visualization,Advanced,3.81,24,469924
393,Natural Language Processing,NLP,Advanced,4.69,8,3613
394,Pandas for Data Analysis,Pandas,Intermediate,3.95,30,159611
395,Computer Vision Basics,Computer Vision,Beginner,3.94,38,484138
396,PyTorch for Deep Learning,PyTorch,Beginner,4.33,3,190510
397,SQL for Data Science,SQL,Beginner,4.88,26,82683
398,Natural Language Processing,NLP,Intermediate,3.9,31,161649
399,Probability Course,Probability,Intermediate,3.77,28,167865
400,ML Algorithms,Machine Learning,Beginner,4.8,22,170835
401,Linear Algebra Course,Linear Algebra,Advanced,4.99,16,34936
402,Natural Language Processing,NLP,Advanced,4.6,17,81304
403,Deep Learning Fundamentals,Deep Learning,Advanced,4.95,24,424864
404,Computer Vision Basics,Computer Vision,Beginner,4.95,14,408237
405,Data Visualization with Python,Data Visualization,Intermediate,4.13,14,299402
406,Pandas for Data Analysis,Pandas,Intermediate,3.54,14,195395
407,Data Visualization with Python,Data Visualization,Advanced,3.94,17,9053
408,Numpy Fundamentals,Numpy,Advanced,4.96,18,239828
409,Data Visualization with Python,Data Visualization,Beginner,4.58,38,26926
410,Linear Algebra Course,Linear Algebra,Intermediate,4.27,40,12816
411,Linear Algebra Course,Linear Algebra,Beginner,3.84,22,124856
412,Python for Data Science,Python,Beginner,4.88,6,439232
413,Linear Algebra Course,Linear Algebra,Advanced,4.52,6,109920
414,Data Analysis Course,Data Analysis,Intermediate,3.94,18,268094
415,Probability Course,Probability,Intermediate,4.19,24,452914
416,Natural Language Processing,NLP,Beginner,4.21,37,394471
417,Statistics for Data Science,Statistics,Beginner,4.59,17,191552
418,Numpy Fundamentals,Numpy,Beginner,3.95,16,424481
419,TensorFlow Crash Course,TensorFlow,Advanced,3.51,8,491385
420,Data Analysis Course,Data Analysis,Beginner,4.89,30,71420
421,Pandas for Data Analysis,Pandas,Intermediate,4.91,18,60281
422,SQL for Data Science,SQL,Beginner,3.96,24,220476
423,Pandas for Data Analysis,Pandas,Intermediate,4.92,28,212782
424,Machine Learning Intro,Machine Learning,Advanced,4.42,29,8732
425,Linear Algebra Course,Linear Algebra,Beginner,3.52,40,8229
426,PyTorch for Deep Learning,PyTorch,Intermediate,3.56,17,188859
427,Linear Algebra Course,Linear Algebra,Advanced,4.44,25,348414
428,Machine Learning Intro,Machine Learning,Advanced,4.27,9,93200
429,Data Analysis Course,Data Analysis,Advanced,4.01,30,230570
430,Probability Course,Probability,Advanced,4.23,32,294503
431,Data Analysis Course,Data Analysis,Beginner,4.61,35,75349
432,ML Algorithms,Machine Learning,Advanced,4.75,19,471591
433,Neural Networks,Deep Learning,Beginner,4.72,35,323116
434,TensorFlow Crash Course,TensorFlow,Advanced,3.87,39,18260
435,Natural Language Processing,NLP,Advanced,4.37,24,332558
436,Linear Algebra Course,Linear Algebra,Beginner,4.9,27,460784
