course_id,course_name,skill,difficulty,rating,duration_hours
149,Pandas for Data Analysis,Python,Advanced,4.52,8
150,SQL for Data Science,Numpy,Beginner,3.63,12
151,Neural Networks,NLP,Beginner,3.07,12
152,Natural Language Processing,Deep Learning,Intermediate,3.14,21
153,Machine Learning Intro,Deep Learning,Beginner,4.06,37
154,Neural Networks,Python,Advanced,4.1,28
155,Statistics for Data Science,Machine Learning,Beginner,4.82,23
156,Neural Networks,Numpy,Advanced,4.88,38
157,Deep Learning Fundamentals,Computer Vision,Beginner,3.89,27
158,Data Visualization with Python,Data Analysis,Advanced,3.02,11
159,TensorFlow Crash Course,TensorFlow,Advanced,3.75,35
160,PyTorch for Deep Learning,Numpy,Advanced,4.87,31
161,Python Basics,Deep Learning,Beginner,3.84,35
162,TensorFlow Crash Course,Machine Learning,Advanced,3.62,5
163,Numpy Fundamentals,Numpy,Advanced,4.31,34
164,SQL for Data Science,Deep Learning,Intermediate,4.05,7
165,Pandas for Data Analysis,Data Analysis,Beginner,3.65,24
166,Computer Vision Basics,Statistics,Advanced,3.48,10
167,Advanced Python,Machine Learning,Intermediate,4.52,7
168,TensorFlow Crash Course,Statistics,Advanced,4.03,13
169,Pandas for Data Analysis,Computer Vision,Intermediate,4.6,21
170,Computer Vision Basics,Numpy,Intermediate,4.37,36
171,Computer Vision Basics,Data Analysis,Intermediate,3.67,12
172,PyTorch for Deep Learning,PyTorch,Intermediate,4.86,24
173,Numpy Fundamentals,Machine Learning,Intermediate,4.6,27
174,Natural Language Processing,Pandas,Beginner,3.24,22
175,Natural Language Processing,Machine Learning,Beginner,4.07,4
176,Pandas for Data Analysis,Numpy,Beginner,4.67,10
177,Deep Learning Fundamentals,PyTorch,Intermediate,3.27,6
178,PyTorch for Deep Learning,NLP,Advanced,4.49,3
179,SQL for Data Science,Numpy,Advanced,4.35,18
180,Deep Learning Fundamentals,PyTorch,Intermediate,4.87,32
181,Deep Learning Fundamentals,Linear Algebra,Intermediate,3.03,39
182,Neural Networks,Deep Learning,Beginner,4.61,35
183,PyTorch for Deep Learning,Numpy,Intermediate,3.62,9
184,TensorFlow Crash Course,Numpy,Intermediate,3.45,4
185,Python Basics,Machine Learning,Intermediate,3.1,36
186,Statistics for Data Science,Data Analysis,Beginner,4.21,14
187,Computer Vision Basics,TensorFlow,Beginner,3.13,35
188,Advanced Python,Data Analysis,Beginner,4.59,29
189,Deep Learning Fundamentals,Machine Learning,Advanced,3.8,4
190,Advanced Python,Statistics,Beginner,4.59,19
191,Machine Learning Intro,Data Analysis,Intermediate,3.92,4
192,Statistics for Data Science,NLP,Beginner,3.27,31
193,PyTorch for Deep Learning,Deep Learning,Intermediate,4.05,21
194,Python Basics,Data Analysis,Intermediate,3.08,15
195,Python Basics,Linear Algebra,Intermediate,4.67,36
196,Numpy Fundamentals,NLP,Beginner,4.45,5
197,Machine Learning Intro,Deep Learning,Beginner,4.93,17
198,Neural Networks,Deep Learning,Intermediate,3.06,38
199,Numpy Fundamentals,NLP,Advanced,3.83,16
200,Natural Language Processing,TensorFlow,Intermediate,4.06,40
201,Computer Vision Basics,PyTorch,Beginner,3.59,3
202,Machine Learning Intro,Python,Beginner,4.14,40
203,SQL for Data Science,SQL,Intermediate,3.29,32
204,PyTorch for Deep Learning,Data Visualization,Beginner,4.79,8
205,Advanced Python,Python,Intermediate,4.57,30
206,TensorFlow Crash Course,Computer Vision,Intermediate,3.89,28
207,Python Basics,TensorFlow,Beginner,3.36,24
208,Computer Vision Basics,PyTorch,Advanced,3.54,5
209,Neural Networks,Deep Learning,Intermediate,4.28,20
210,Computer Vision Basics,Computer Vision,Intermediate,4.83,38
211,Machine Learning Intro,Deep Learning,Intermediate,4.95,15
212,TensorFlow Crash Course,PyTorch,Intermediate,3.26,8
213,TensorFlow Crash Course,Linear Algebra,Intermediate,3.27,3
214,Pandas for Data Analysis,Statistics,Beginner,3.24,10
215,Pandas for Data Analysis,Computer Vision,Intermediate,4.73,27
216,Data Visualization with Python,Computer Vision,Intermediate,4.47,18
217,TensorFlow Crash Course,NLP,Beginner,4.57,39
218,Computer Vision Basics,Data Visualization,Intermediate,3.61,30
219,Machine Learning Intro,PyTorch,Intermediate,4.52,12
220,Pandas for Data Analysis,NLP,Advanced,3.78,36
221,Deep Learning Fundamentals,PyTorch,Beginner,4.32,25
222,PyTorch for Deep Learning,PyTorch,Advanced,4.36,33
223,Deep Learning Fundamentals,Numpy,Beginner,3.03,19
224,Natural Language Processing,Python,Beginner,4.41,23
225,Data Visualization with Python,PyTorch,Advanced,3.43,20
226,Natural Language Processing,TensorFlow,Advanced,4.7,14
227,Machine Learning Intro,SQL,Beginner,3.4,33
228,PyTorch for Deep Learning,Numpy,Intermediate,4.72,4
229,Computer Vision Basics,Statistics,Advanced,4.95,3
230,Natural Language Processing,Python,Advanced,3.89,39
231,Machine Learning Intro,Machine Learning,Intermediate,4.03,31
232,Python Basics,Machine Learning,Beginner,4.09,40
233,Advanced Python,PyTorch,Advanced,3.98,32
234,Python Basics,TensorFlow,Beginner,4.04,28
235,Statistics for Data Science,PyTorch,Advanced,4.03,26
236,Advanced Python,Deep Learning,Beginner,3.14,12
237,Pandas for Data Analysis,Data Visualization,Advanced,4.0,33
238,Data Visualization with Python,Machine Learning,Intermediate,3.25,38
239,Natural Language Processing,Computer Vision,Advanced,3.88,15
240,Pandas for Data Analysis,TensorFlow,Intermediate,4.44,11
241,SQL for Data Science,NLP,Advanced,4.65,8
242,Pandas for Data Analysis,SQL,Beginner,4.64,17
243,PyTorch for Deep Learning,Pandas,Advanced,3.3,36
244,PyTorch for Deep Learning,NLP,Advanced,4.52,40
245,Numpy Fundamentals,Deep Learning,Beginner,4.97,31
246,Natural Language Processing,Data Analysis,Beginner,4.67,10
247,Data Visualization with Python,NLP,Advanced,3.62,12
248,PyTorch for Deep Learning,Linear Algebra,Intermediate,3.45,27
249,SQL for Data Science,Data Analysis,Intermediate,4.07,13
250,Python Basics,Statistics,Beginner,3.82,17
251,Advanced Python,Machine Learning,Beginner,4.08,13
252,Deep Learning Fundamentals,Data Analysis,Advanced,3.38,25
253,Deep Learning Fundamentals,Computer Vision,Intermediate,4.63,29
254,Deep Learning Fundamentals,Data Visualization,Beginner,4.95,31
255,SQL for Data Science,SQL,Beginner,4.02,12
256,Neural Networks,TensorFlow,Advanced,3.33,29
257,Pandas for Data Analysis,Python,Beginner,4.06,17
258,Numpy Fundamentals,Linear Algebra,Advanced,3.13,11
259,PyTorch for Deep Learning,Data Analysis,Beginner,3.06,15
260,Deep Learning Fundamentals,NLP,Intermediate,4.21,2
261,Data Visualization with Python,TensorFlow,Advanced,4.67,19
262,Natural Language Processing,Pandas,Beginner,3.59,16
263,Deep Learning Fundamentals,TensorFlow,Intermediate,4.78,9
264,TensorFlow Crash Course,Data Analysis,Beginner,4.42,16
265,Computer Vision Basics,Data Visualization,Advanced,4.99,27
266,Computer Vision Basics,Pandas,Beginner,4.97,3
267,Deep Learning Fundamentals,Deep Learning,Intermediate,3.78,24
268,Machine Learning Intro,Deep Learning,Intermediate,4.02,40
269,Numpy Fundamentals,Numpy,Intermediate,3.89,14
270,Pandas for Data Analysis,PyTorch,Intermediate,4.64,35
271,Pandas for Data Analysis,Statistics,Advanced,3.39,33
272,PyTorch for Deep Learning,Linear Algebra,Intermediate,3.21,19
273,PyTorch for Deep Learning,Machine Learning,Beginner,3.2,22
274,PyTorch for Deep Learning,SQL,Advanced,3.02,3
275,Neural Networks,Deep Learning,Intermediate,4.05,4
276,TensorFlow Crash Course,Data Visualization,Beginner,4.32,36
277,Numpy Fundamentals,SQL,Beginner,3.72,38
278,Natural Language Processing,PyTorch,Intermediate,4.98,5
279,SQL for Data Science,Statistics,Beginner,4.55,12
280,PyTorch for Deep Learning,Numpy,Advanced,3.99,19
281,Neural Networks,Statistics,Intermediate,4.57,23
282,Machine Learning Intro,Statistics,Beginner,3.67,32
283,Machine Learning Intro,Pandas,Intermediate,3.13,27
284,Advanced Python,PyTorch,Advanced,4.34,21
285,Statistics for Data Science,PyTorch,Intermediate,3.92,12
286,Deep Learning Fundamentals,Numpy,Advanced,3.37,32
287,Advanced Python,Data Analysis,Intermediate,4.0,26
288,SQL for Data Science,Python,Intermediate,4.0,2
289,Advanced Python,Data Visualization,Intermediate,4.18,26
290,Deep Learning Fundamentals,Machine Learning,Beginner,3.59,25
291,PyTorch for Deep Learning,Numpy,Intermediate,4.65,21
292,Advanced Python,TensorFlow,Advanced,3.53,16
293,PyTorch for Deep Learning,Linear Algebra,Advanced,4.85,18
294,Statistics for Data Science,Python,Beginner,4.96,12
295,TensorFlow Crash Course,Data Analysis,Beginner,3.2,22
296,Deep Learning Fundamentals,Computer Vision,Advanced,3.67,2
297,Statistics for Data Science,Pandas,Advanced,3.95,23
298,Machine Learning Intro,Deep Learning,Intermediate,4.66,37
299,Data Visualization with Python,Statistics,Advanced,3.78,25
300,Natural Language Processing,Statistics,Beginner,4.65,18
301,Neural Networks,Linear Algebra,Advanced,3.3,26
302,Deep Learning Fundamentals,SQL,Beginner,4.35,7
303,Computer Vision Basics,PyTorch,Intermediate,3.01,28
304,Deep Learning Fundamentals,Pandas,Intermediate,4.58,35
305,Neural Networks,Computer Vision,Intermediate,3.55,16
306,Data Visualization with Python,Numpy,Intermediate,4.04,10
307,Computer Vision Basics,Statistics,Advanced,4.05,21
308,Natural Language Processing,Computer Vision,Advanced,3.69,39
309,Deep Learning Fundamentals,Data Analysis,Beginner,4.53,14
310,Machine Learning Intro,Numpy,Advanced,3.34,6
311,Machine Learning Intro,Linear Algebra,Intermediate,4.64,8
312,Data Visualization with Python,NLP,Intermediate,4.36,29
313,Computer Vision Basics,NLP,Beginner,4.8,26
314,Natural Language Processing,Python,Intermediate,4.4,39
315,Advanced Python,SQL,Intermediate,4.71,4
316,Statistics for Data Science,Linear Algebra,Intermediate,4.97,3
317,Deep Learning Fundamentals,Pandas,Beginner,4.67,39
318,Computer Vision Basics,NLP,Advanced,4.09,8
319,Machine Learning Intro,Numpy,Beginner,3.14,25
320,Computer Vision Basics,Linear Algebra,Intermediate,3.22,31
321,Advanced Python,Data Visualization,Intermediate,4.3,2
322,Numpy Fundamentals,Python,Beginner,4.38,32
323,Computer Vision Basics,Data Visualization,Advanced,3.35,14
324,Advanced Python,Deep Learning,Advanced,3.78,12
325,SQL for Data Science,Deep Learning,Intermediate,3.74,10
326,Computer Vision Basics,Statistics,Beginner,3.25,24
327,PyTorch for Deep Learning,TensorFlow,Advanced,4.59,16
328,Pandas for Data Analysis,Data Analysis,Advanced,3.29,31
329,Pandas for Data Analysis,Machine Learning,Advanced,3.58,12
330,PyTorch for Deep Learning,Numpy,Advanced,3.43,3
331,SQL for Data Science,Pandas,Advanced,3.43,7
332,Pandas for Data Analysis,Python,Beginner,3.54,37
333,Python Basics,TensorFlow,Beginner,4.79,6
334,Advanced Python,Pandas,Beginner,4.38,5
335,Computer Vision Basics,Data Analysis,Intermediate,3.48,34
336,Neural Networks,Linear Algebra,Beginner,4.54,39
337,Machine Learning Intro,Linear Algebra,Intermediate,4.42,39
338,Natural Language Processing,Data Visualization,Beginner,3.72,31
339,Neural Networks,Linear Algebra,Beginner,3.13,22
340,Computer Vision Basics,Computer Vision,Advanced,3.24,34
341,Natural Language Processing,Deep Learning,Intermediate,3.66,27
342,Numpy Fundamentals,Pandas,Beginner,3.51,27
343,SQL for Data Science,Deep Learning,Intermediate,3.57,27
344,Statistics for Data Science,Statistics,Beginner,3.04,27
345,Pandas for Data Analysis,Python,Intermediate,3.16,35
346,Python Basics,Data Visualization,Beginner,4.98,13
347,SQL for Data Science,Deep Learning,Intermediate,4.83,23
348,Python Basics,Python,Beginner,3.79,19
349,PyTorch for Deep Learning,Linear Algebra,Intermediate,4.48,7
350,Machine Learning Intro,Statistics,Beginner,4.73,9
351,Advanced Python,Data Analysis,Intermediate,4.52,30
352,Data Visualization with Python,Deep Learning,Beginner,4.13,28
353,Data Visualization with Python,Python,Intermediate,4.91,2
354,Python Basics,TensorFlow,Intermediate,4.8,13
355,Neural Networks,Python,Intermediate,3.95,18
356,Deep Learning Fundamentals,Numpy,Advanced,3.5,17
357,SQL for Data Science,Deep Learning,Intermediate,5.0,34
358,Statistics for Data Science,NLP,Beginner,3.64,35
359,Advanced Python,NLP,Beginner,4.62,12
360,Neural Networks,PyTorch,Intermediate,4.51,9
361,Numpy Fundamentals,Linear Algebra,Intermediate,3.55,39
362,TensorFlow Crash Course,Pandas,Beginner,4.58,37
363,Python Basics,Machine Learning,Advanced,3.75,18
364,Numpy Fundamentals,TensorFlow,Intermediate,4.74,20
365,Python Basics,Computer Vision,Advanced,4.52,25
366,Pandas for Data Analysis,Linear Algebra,Beginner,4.8,27
367,Data Visualization with Python,Computer Vision,Beginner,3.14,40
368,Natural Language Processing,Data Analysis,Beginner,3.11,37
369,Numpy Fundamentals,NLP,Advanced,3.48,28
370,Advanced Python,PyTorch,Intermediate,4.53,34
371,Python Basics,Data Analysis,Intermediate,4.6,7
372,Statistics for Data Science,Pandas,Advanced,4.93,37
373,Data Visualization with Python,Pandas,Beginner,3.22,12
374,Python Basics,Linear Algebra,Intermediate,4.74,27
375,Statistics for Data Science,Computer Vision,Intermediate,3.96,15
376,Statistics for Data Science,Numpy,Intermediate,4.24,24
377,Computer Vision Basics,Data Analysis,Advanced,3.04,22
378,Neural Networks,Linear Algebra,Intermediate,4.05,12
379,PyTorch for Deep Learning,PyTorch,Intermediate,3.05,31
380,Pandas for Data Analysis,TensorFlow,Intermediate,3.32,22
381,PyTorch for Deep Learning,PyTorch,Advanced,3.15,38
382,Pandas for Data Analysis,Machine Learning,Intermediate,4.93,23
383,Deep Learning Fundamentals,Python,Advanced,3.13,7
384,Statistics for Data Science,Python,Advanced,3.95,14
385,Machine Learning Intro,SQL,Advanced,4.56,6
386,Neural Networks,Linear Algebra,Advanced,3.12,31
387,Statistics for Data Science,Machine Learning,Beginner,4.33,20
388,Python Basics,NLP,Advanced,4.38,8
389,PyTorch for Deep Learning,NLP,Intermediate,4.57,2
390,Deep Learning Fundamentals,PyTorch,Intermediate,3.71,20
391,Data Visualization with Python,PyTorch,Advanced,4.75,8
392,Data Visualization with Python,Statistics,Intermediate,4.02,14
393,Pandas for Data Analysis,Statistics,Advanced,3.71,15
394,Machine Learning Intro,Data Visualization,Advanced,3.43,35
395,PyTorch for Deep Learning,SQL,Beginner,4.5,21
396,SQL for Data Science,Python,Intermediate,3.17,35
397,Pandas for Data Analysis,Statistics,Advanced,4.91,27
398,SQL for Data Science,Data Visualization,Intermediate,3.66,33
399,Pandas for Data Analysis,Numpy,Beginner,4.11,32
400,Neural Networks,Linear Algebra,Advanced,3.45,40
401,Pandas for Data Analysis,NLP,Beginner,3.65,23
402,Computer Vision Basics,Python,Advanced,3.79,21
403,SQL for Data Science,Data Analysis,Beginner,3.67,35
404,Pandas for Data Analysis,Pandas,Beginner,4.91,20
405,Numpy Fundamentals,Numpy,Beginner,3.56,16
406,Machine Learning Intro,Python,Advanced,4.32,29
407,Machine Learning Intro,Pandas,Intermediate,4.05,18
408,PyTorch for Deep Learning,Deep Learning,Advanced,4.9,25
409,Deep Learning Fundamentals,PyTorch,Advanced,4.0,18
410,Neural Networks,Deep Learning,Intermediate,4.04,37
411,Data Visualization with Python,Linear Algebra,Beginner,4.92,12
412,Advanced Python,Machine Learning,Beginner,3.79,32
413,Python Basics,Linear Algebra,Advanced,4.26,17
414,SQL for Data Science,Deep Learning,Advanced,4.06,5
415,PyTorch for Deep Learning,Data Analysis,Advanced,4.51,16
416,Data Visualization with Python,SQL,Advanced,4.22,5
417,Data Visualization with Python,Data Analysis,Advanced,3.23,29
418,PyTorch for Deep Learning,Data Analysis,Intermediate,4.24,10
419,TensorFlow Crash Course,SQL,Intermediate,3.52,17
420,Data Visualization with Python,NLP,Intermediate,3.82,20
421,Deep Learning Fundamentals,Python,Advanced,4.01,29
422,Advanced Python,TensorFlow,Advanced,3.58,27
423,Data Visualization with Python,Python,Beginner,3.02,39
424,SQL for Data Science,Data Analysis,Intermediate,3.38,22
425,Machine Learning Intro,TensorFlow,Intermediate,3.89,23
426,PyTorch for Deep Learning,TensorFlow,Intermediate,4.63,15
427,Statistics for Data Science,Computer Vision,Advanced,4.68,34
428,Deep Learning Fundamentals,Computer Vision,Beginner,3.25,32
429,Statistics for Data Science,Python,Beginner,4.91,26
430,Pandas for Data Analysis,PyTorch,Beginner,3.14,36
431,Deep Learning Fundamentals,NLP,Intermediate,4.98,25
432,Computer Vision Basics,Machine Learning,Beginner,3.58,30
433,Computer Vision Basics,Data Analysis,Beginner,3.02,39
434,PyTorch for Deep Learning,Deep Learning,Beginner,4.47,7
435,Advanced Python,TensorFlow,Advanced,4.97,10
436,Statistics for Data Science,TensorFlow,Advanced,3.51,17
437,Pandas for Data Analysis,Data Analysis,Beginner,3.69,26
438,Machine Learning Intro,Linear Algebra,Advanced,3.07,18
439,Data Visualization with Python,Data Analysis,Intermediate,3.1,22
440,Machine Learning Intro,Statistics,Beginner,4.27,37
441,Natural Language Processing,TensorFlow,Advanced,3.34,31
442,Data Visualization with Python,Python,Beginner,3.7,2
443,Natural Language Processing,Linear Algebra,Intermediate,3.37,7
444,Pandas for Data Analysis,Statistics,Advanced,3.17,23
445,Numpy Fundamentals,Computer Vision,Advanced,3.54,2
446,Data Visualization with Python,Data Visualization,Advanced,3.19,36
447,PyTorch for Deep Learning,SQL,Beginner,4.89,9
448,Computer Vision Basics,Statistics,Intermediate,3.17,20
449,Statistics for Data Science,Statistics,Beginner,3.15,14
450,Statistics for Data Science,Numpy,Intermediate,4.19,4
451,PyTorch for Deep Learning,Machine Learning,Intermediate,4.54,14
452,PyTorch for Deep Learning,Deep Learning,Beginner,4.35,19
453,TensorFlow Crash Course,Data Analysis,Beginner,3.83,16
454,Computer Vision Basics,NLP,Advanced,3.65,22
455,Machine Learning Intro,SQL,Intermediate,4.84,26
456,Neural Networks,Python,Intermediate,4.38,20
457,Neural Networks,Python,Beginner,3.55,7
458,Numpy Fundamentals,Python,Intermediate,4.66,6
459,Statistics for Data Science,Linear Algebra,Advanced,4.56,17
460,Data Visualization with Python,Pandas,Advanced,4.92,4
461,Deep Learning Fundamentals,Machine Learning,Beginner,4.37,24
462,Statistics for Data Science,Machine Learning,Advanced,3.39,38
463,Computer Vision Basics,TensorFlow,Beginner,4.44,22
464,Python Basics,Python,Advanced,3.64,33
465,Data Visualization with Python,Data Analysis,Advanced,4.52,27
466,Natural Language Processing,Statistics,Advanced,3.61,16
467,TensorFlow Crash Course,Data Analysis,Beginner,3.57,35
468,PyTorch for Deep Learning,Machine Learning,Advanced,3.05,35
469,Numpy Fundamentals,Linear Algebra,Intermediate,4.3,34
470,Data Visualization with Python,Machine Learning,Intermediate,4.88,29
471,Statistics for Data Science,TensorFlow,Advanced,4.12,12
472,Machine Learning Intro,Linear Algebra,Beginner,4.52,4
473,Neural Networks,Pandas,Beginner,3.62,28
