course_id,course_name,skill,difficulty,rating,duration_hours,num_students,text
41,Statistics for Data Science,Statistics,Beginner,4.66,38,361536,Statistics for Data Science Statistics Beginner
42,Data Visualization with Python,Data Visualization,Beginner,3.8,22,19395,Data Visualization with Python Data Visualization Beginner
43,Computer Vision Basics,Computer Vision,Advanced,3.81,37,365707,Computer Vision Basics Computer Vision Advanced
44,Linear Algebra Course,Linear Algebra,Intermediate,4.11,3,47451,Linear Algebra Course Linear Algebra Intermediate
45,ML Algorithms,Machine Learning,Advanced,4.79,13,224936,ML Algorithms Machine Learning Advanced
46,Pandas for Data Analysis,Pandas,Advanced,4.39,2,384796,Pandas for Data Analysis Pandas Advanced
47,Natural Language Processing,NLP,Beginner,4.53,10,372921,Natural Language Processing NLP Beginner
48,Linear Algebra Course,Linear Algebra,Advanced,4.09,4,257055,Linear Algebra Course Linear Algebra Advanced
49,Natural Language Processing,NLP,Intermediate,4.15,5,380207,Natural Language Processing NLP Intermediate
50,Data Analysis Course,Data Analysis,Advanced,4.63,31,295355,Data Analysis Course Data Analysis Advanced
51,Linear Algebra Course,Linear Algebra,Intermediate,4.68,10,93035,Linear Algebra Course Linear Algebra Intermediate
52,Probability Course,Probability,Advanced,4.65,32,485313,Probability Course Probability Advanced
53,TensorFlow Crash Course,TensorFlow,Advanced,3.53,3,369743,TensorFlow Crash Course TensorFlow Advanced
54,PyTorch for Deep Learning,PyTorch,Advanced,4.0,30,119566,PyTorch for Deep Learning PyTorch Advanced
55,Statistics for Data Science,Statistics,Intermediate,3.62,37,58669,Statistics for Data Science Statistics Intermediate
56,PyTorch for Deep Learning,PyTorch,Intermediate,4.94,8,22499,PyTorch for Deep Learning PyTorch Intermediate
57,Data Analysis Course,Data Analysis,Intermediate,4.77,15,165667,Data Analysis Course Data Analysis Intermediate
58,Deep Learning Fundamentals,Deep Learning,Advanced,4.59,33,234199,Deep Learning Fundamentals Deep Learning Advanced
59,Data Analysis Course,Data Analysis,Beginner,4.88,34,378434,Data Analysis Course Data Analysis Beginner
60,Pandas for Data Analysis,Pandas,Beginner,4.64,10,284843,Pandas for Data Analysis Pandas Beginner
61,TensorFlow Crash Course,TensorFlow,Intermediate,3.94,19,40661,TensorFlow Crash Course TensorFlow Intermediate
62,Computer Vision Basics,Computer Vision,Beginner,4.17,22,85149,Computer Vision Basics Computer Vision Beginner
63,Probability Course,Probability,Intermediate,4.74,16,5706,Probability Course Probability Intermediate
64,Natural Language Processing,NLP,Advanced,3.69,33,316188,Natural Language Processing NLP Advanced
65,Computer Vision Basics,Computer Vision,Beginner,3.9,18,278063,Computer Vision Basics Computer Vision Beginner
66,Pandas for Data Analysis,Pandas,Intermediate,4.6,37,325866,Pandas for Data Analysis Pandas Intermediate
67,Neural Networks,Deep Learning,Beginner,4.97,6,163928,Neural Networks Deep Learning Beginner
68,Numpy Fundamentals,Numpy,Intermediate,4.76,38,167641,Numpy Fundamentals Numpy Intermediate
69,Statistics for Data Science,Statistics,Intermediate,4.33,5,437785,Statistics for Data Science Statistics Intermediate
70,Probability Course,Probability,Beginner,3.58,22,360659,Probability Course Probability Beginner
71,Pandas for Data Analysis,Pandas,Advanced,3.56,22,92108,Pandas for Data Analysis Pandas Advanced
72,Pandas for Data Analysis,Pandas,Beginner,3.99,6,18059,Pandas for Data Analysis Pandas Beginner
73,PyTorch for Deep Learning,PyTorch,Intermediate,3.61,33,89083,PyTorch for Deep Learning PyTorch Intermediate
74,TensorFlow Crash Course,TensorFlow,Beginner,4.87,22,399870,TensorFlow Crash Course TensorFlow Beginner
75,Statistics for Data Science,Statistics,Beginner,4.06,18,218175,Statistics for Data Science Statistics Beginner
76,TensorFlow Crash Course,TensorFlow,Advanced,4.09,32,330926,TensorFlow Crash Course TensorFlow Advanced
77,Pandas for Data Analysis,Pandas,Advanced,4.22,8,287436,Pandas for Data Analysis Pandas Advanced
78,Statistics for Data Science,Statistics,Intermediate,3.95,38,45657,Statistics for Data Science Statistics Intermediate
79,Natural Language Processing,NLP,Intermediate,4.07,5,24966,Natural Language Processing NLP Intermediate
80,Linear Algebra Course,Linear Algebra,Advanced,4.81,26,79274,Linear Algebra Course Linear Algebra Advanced
81,Data Visualization with Python,Data Visualization,Intermediate,3.73,19,359616,Data Visualization with Python Data Visualization Intermediate
82,Pandas for Data Analysis,Pandas,Beginner,3.81,17,82217,Pandas for Data Analysis Pandas Beginner
83,Linear Algebra Course,Linear Algebra,Intermediate,4.9,26,336123,Linear Algebra Course Linear Algebra Intermediate
84,Neural Networks,Deep Learning,Beginner,3.7,38,246712,Neural Networks Deep Learning Beginner
85,Statistics for Data Science,Statistics,Beginner,4.64,12,414303,Statistics for Data Science Statistics Beginner
86,Natural Language Processing,NLP,Advanced,4.84,12,242943,Natural Language Processing NLP Advanced
87,Pandas for Data Analysis,Pandas,Beginner,3.95,30,35520,Pandas for Data Analysis Pandas Beginner
88,Linear Algebra Course,Linear Algebra,Intermediate,4.34,40,149454,Linear Algebra Course Linear Algebra Intermediate
89,Probability Course,Probability,Beginner,3.76,5,293847,Probability Course Probability Beginner
90,PyTorch for Deep Learning,PyTorch,Intermediate,4.92,22,165706,PyTorch for Deep Learning PyTorch Intermediate
91,Computer Vision Basics,Computer Vision,Intermediate,4.65,31,197056,Computer Vision Basics Computer Vision Intermediate
92,Pandas for Data Analysis,Pandas,Intermediate,4.37,13,132031,Pandas for Data Analysis Pandas Intermediate
93,PyTorch for Deep Learning,PyTorch,Intermediate,4.5,5,63803,PyTorch for Deep Learning PyTorch Intermediate
94,Deep Learning Fundamentals,Deep Learning,Intermediate,3.65,40,47589,Deep Learning Fundamentals Deep Learning Intermediate
95,Data Visualization with Python,Data Visualization,Intermediate,3.99,14,84393,Data Visualization with Python Data Visualization Intermediate
96,Numpy Fundamentals,Numpy,Beginner,4.18,22,303647,Numpy Fundamentals Numpy Beginner
97,Pandas for Data Analysis,Pandas,Beginner,4.79,26,425281,Pandas for Data Analysis Pandas Beginner
98,Data Visualization with Python,Data Visualization,Advanced,3.87,25,177487,Data Visualization with Python Data Visualization Advanced
99,Statistics for Data Science,Statistics,Advanced,4.82,37,200432,Statistics for Data Science Statistics Advanced
100,Numpy Fundamentals,Numpy,Intermediate,4.46,40,83940,Numpy Fundamentals Numpy Intermediate
101,ML Algorithms,Machine Learning,Intermediate,4.64,26,128056,ML Algorithms Machine Learning Intermediate
102,Probability Course,Probability,Beginner,4.14,16,40853,Probability Course Probability Beginner
103,Numpy Fundamentals,Numpy,Intermediate,4.9,9,307920,Numpy Fundamentals Numpy Intermediate
104,Statistics for Data Science,Statistics,Advanced,3.59,7,462776,Statistics for Data Science Statistics Advanced
105,Deep Learning Fundamentals,Deep Learning,Beginner,3.57,18,31576,Deep Learning Fundamentals Deep Learning Beginner
106,Natural Language Processing,NLP,Intermediate,3.78,30,129580,Natural Language Processing NLP Intermediate
107,Numpy Fundamentals,Numpy,Intermediate,4.22,6,130702,Numpy Fundamentals Numpy Intermediate
108,Probability Course,Probability,Advanced,4.34,24,197794,Probability Course Probability Advanced
109,Advanced Python,Python,Beginner,4.87,8,466792,Advanced Python Python Beginner
110,Computer Vision Basics,Computer Vision,Advanced,4.52,39,405073,Computer Vision Basics Computer Vision Advanced
111,Probability Course,Probability,Advanced,3.75,13,107022,Probability Course Probability Advanced
112,Data Analysis Course,Data Analysis,Beginner,4.33,14,399777,Data Analysis Course Data Analysis Beginner
113,Python Basics,Python,Advanced,3.9,35,317778,Python Basics Python Advanced
114,Pandas for Data Analysis,Pandas,Intermediate,4.91,28,470525,Pandas for Data Analysis Pandas Intermediate
115,Data Analysis Course,Data Analysis,Beginner,3.67,12,95926,Data Analysis Course Data Analysis Beginner
116,Neural Networks,Deep Learning,Intermediate,4.26,3,95135,Neural Networks Deep Learning Intermediate
117,Computer Vision Basics,Computer Vision,Intermediate,3.62,33,354373,Computer Vision Basics Computer Vision Intermediate
118,TensorFlow Crash Course,TensorFlow,Beginner,4.7,21,137218,TensorFlow Crash Course TensorFlow Beginner
119,Statistics for Data Science,Statistics,Intermediate,4.95,9,95940,Statistics for Data Science Statistics Intermediate
120,ML Algorithms,Machine Learning,Beginner,4.39,7,279419,ML Algorithms Machine Learning Beginner
121,Machine Learning Intro,Machine Learning,Intermediate,4.02,7,326496,Machine Learning Intro Machine Learning Intermediate
122,Neural Networks,Deep Learning,Intermediate,4.01,22,265123,Neural Networks Deep Learning Intermediate
123,Statistics for Data Science,Statistics,Intermediate,3.67,21,488145,Statistics for Data Science Statistics Intermediate
124,SQL for Data Science,SQL,Beginner,4.73,34,312939,SQL for Data Science SQL Beginner
125,Machine Learning Intro,Machine Learning,Intermediate,3.74,15,257869,Machine Learning Intro Machine Learning Intermediate
126,Computer Vision Basics,Computer Vision,Beginner,4.33,17,24694,Computer Vision Basics Computer Vision Beginner
127,Linear Algebra Course,Linear Algebra,Beginner,4.83,26,457063,Linear Algebra Course Linear Algebra Beginner
128,ML Algorithms,Machine Learning,Intermediate,4.54,34,204299,ML Algorithms Machine Learning Intermediate
129,Data Visualization with Python,Data Visualization,Advanced,4.33,24,183783,Data Visualization with Python Data Visualization Advanced
130,TensorFlow Crash Course,TensorFlow,Intermediate,3.99,23,201846,TensorFlow Crash Course TensorFlow Intermediate
131,Probability Course,Probability,Advanced,4.54,39,460247,Probability Course Probability Advanced
132,Linear Algebra Course,Linear Algebra,Beginner,4.95,33,410168,Linear Algebra Course Linear Algebra Beginner
133,TensorFlow Crash Course,TensorFlow,Advanced,4.22,11,471813,TensorFlow Crash Course TensorFlow Advanced
134,SQL for Data Science,SQL,Intermediate,3.84,22,340665,SQL for Data Science SQL Intermediate
135,Computer Vision Basics,Computer Vision,Intermediate,3.97,4,277193,Computer Vision Basics Computer Vision Intermediate
136,Natural Language Processing,NLP,Advanced,3.53,38,112099,Natural Language Processing NLP Advanced
137,SQL for Data Science,SQL,Advanced,4.74,23,201754,SQL for Data Science SQL Advanced
138,Natural Language Processing,NLP,Beginner,4.56,10,34783,Natural Language Processing NLP Beginner
139,Computer Vision Basics,Computer Vision,Intermediate,4.54,22,151253,Computer Vision Basics Computer Vision Intermediate
140,Computer Vision Basics,Computer Vision,Intermediate,4.27,8,177081,Computer Vision Basics Computer Vision Intermediate
141,Data Visualization with Python,Data Visualization,Beginner,4.93,22,375878,Data Visualization with Python Data Visualization Beginner
142,Machine Learning Intro,Machine Learning,Advanced,3.81,2,133902,Machine Learning Intro Machine Learning Advanced
143,Probability Course,Probability,Advanced,3.9,6,466949,Probability Course Probability Advanced
144,Python for Data Science,Python,Beginner,3.56,18,129138,Python for Data Science Python Beginner
145,TensorFlow Crash Course,TensorFlow,Beginner,4.31,37,218026,TensorFlow Crash Course TensorFlow Beginner
146,SQL for Data Science,SQL,Intermediate,4.6,18,78042,SQL for Data Science SQL Intermediate
147,Advanced Python,Python,Intermediate,4.71,11,237523,Advanced Python Python Intermediate
148,PyTorch for Deep Learning,PyTorch,Beginner,4.9,40,311005,PyTorch for Deep Learning PyTorch Beginner
149,Linear Algebra Course,Linear Algebra,Beginner,3.92,36,350104,Linear Algebra Course Linear Algebra Beginner
150,TensorFlow Crash Course,TensorFlow,Beginner,3.56,38,63714,TensorFlow Crash Course TensorFlow Beginner
151,Computer Vision Basics,Computer Vision,Advanced,3.77,9,193593,Computer Vision Basics Computer Vision Advanced
152,Data Analysis Course,Data Analysis,Intermediate,4.26,8,102503,Data Analysis Course Data Analysis Intermediate
153,Neural Networks,Deep Learning,Advanced,3.8,39,373235,Neural Networks Deep Learning Advanced
154,PyTorch for Deep Learning,PyTorch,Beginner,4.0,16,327083,PyTorch for Deep Learning PyTorch Beginner
155,Statistics for Data Science,Statistics,Advanced,4.35,20,363190,Statistics for Data Science Statistics Advanced
156,Pandas for Data Analysis,Pandas,Intermediate,3.57,26,469271,Pandas for Data Analysis Pandas Intermediate
157,Numpy Fundamentals,Numpy,Advanced,4.92,12,282203,Numpy Fundamentals Numpy Advanced
158,Probability Course,Probability,Intermediate,4.07,27,104926,Probability Course Probability Intermediate
159,Linear Algebra Course,Linear Algebra,Intermediate,3.58,32,441548,Linear Algebra Course Linear Algebra Intermediate
160,Python for Data Science,Python,Intermediate,4.42,7,293498,Python for Data Science Python Intermediate
161,Natural Language Processing,NLP,Advanced,4.99,16,92276,Natural Language Processing NLP Advanced
162,Linear Algebra Course,Linear Algebra,Beginner,4.75,4,63683,Linear Algebra Course Linear Algebra Beginner
163,Computer Vision Basics,Computer Vision,Intermediate,4.22,40,109854,Computer Vision Basics Computer Vision Intermediate
164,Natural Language Processing,NLP,Advanced,4.16,3,44404,Natural Language Processing NLP Advanced
165,PyTorch for Deep Learning,PyTorch,Beginner,4.17,14,173180,PyTorch for Deep Learning PyTorch Beginner
166,Numpy Fundamentals,Numpy,Intermediate,3.89,12,346738,Numpy Fundamentals Numpy Intermediate
167,Data Visualization with Python,Data Visualization,Advanced,4.95,27,152449,Data Visualization with Python Data Visualization Advanced
168,Machine Learning Intro,Machine Learning,Beginner,4.82,30,484943,Machine Learning Intro Machine Learning Beginner
169,Numpy Fundamentals,Numpy,Intermediate,3.68,26,326429,Numpy Fundamentals Numpy Intermediate
170,Pandas for Data Analysis,Pandas,Beginner,4.25,9,100217,Pandas for Data Analysis Pandas Beginner
171,SQL for Data Science,SQL,Advanced,4.23,33,344940,SQL for Data Science SQL Advanced
172,Probability Course,Probability,Advanced,4.52,14,183239,Probability Course Probability Advanced
173,SQL for Data Science,SQL,Advanced,4.95,31,209901,SQL for Data Science SQL Advanced
174,Linear Algebra Course,Linear Algebra,Advanced,4.55,2,17219,Linear Algebra Course Linear Algebra Advanced
175,Linear Algebra Course,Linear Algebra,Intermediate,4.73,30,338276,Linear Algebra Course Linear Algebra Intermediate
176,Numpy Fundamentals,Numpy,Beginner,4.87,2,293071,Numpy Fundamentals Numpy Beginner
177,Statistics for Data Science,Statistics,Beginner,4.86,13,12544,Statistics for Data Science Statistics Beginner
178,Natural Language Processing,NLP,Advanced,4.94,7,414638,Natural Language Processing NLP Advanced
179,SQL for Data Science,SQL,Intermediate,4.04,11,199862,SQL for Data Science SQL Intermediate
180,Linear Algebra Course,Linear Algebra,Advanced,4.15,14,465802,Linear Algebra Course Linear Algebra Advanced
181,Pandas for Data Analysis,Pandas,Advanced,4.3,14,394235,Pandas for Data Analysis Pandas Advanced
182,Pandas for Data Analysis,Pandas,Advanced,4.72,35,439084,Pandas for Data Analysis Pandas Advanced
183,Neural Networks,Deep Learning,Intermediate,4.29,21,398351,Neural Networks Deep Learning Intermediate
184,Pandas for Data Analysis,Pandas,Advanced,4.41,7,306540,Pandas for Data Analysis Pandas Advanced
185,Numpy Fundamentals,Numpy,Intermediate,3.63,30,297304,Numpy Fundamentals Numpy Intermediate
186,Neural Networks,Deep Learning,Beginner,4.45,28,169836,Neural Networks Deep Learning Beginner
187,Deep Learning Fundamentals,Deep Learning,Advanced,4.44,35,419430,Deep Learning Fundamentals Deep Learning Advanced
188,Linear Algebra Course,Linear Algebra,Beginner,4.55,30,376132,Linear Algebra Course Linear Algebra Beginner
189,PyTorch for Deep Learning,PyTorch,Advanced,3.87,16,412165,PyTorch for Deep Learning PyTorch Advanced
190,Data Visualization with Python,Data Visualization,Intermediate,3.67,22,192491,Data Visualization with Python Data Visualization Intermediate
191,PyTorch for Deep Learning,PyTorch,Beginner,3.92,25,302848,PyTorch for Deep Learning PyTorch Beginner
192,SQL for Data Science,SQL,Advanced,4.99,2,72447,SQL for Data Science SQL Advanced
193,Probability Course,Probability,Intermediate,3.84,6,256069,Probability Course Probability Intermediate
194,Natural Language Processing,NLP,Intermediate,3.82,39,362559,Natural Language Processing NLP Intermediate
195,Pandas for Data Analysis,Pandas,Intermediate,3.64,23,84565,Pandas for Data Analysis Pandas Intermediate
196,Natural Language Processing,NLP,Intermediate,4.39,17,68926,Natural Language Processing NLP Intermediate
197,Deep Learning Fundamentals,Deep Learning,Advanced,4.81,14,466792,Deep Learning Fundamentals Deep Learning Advanced
198,Probability Course,Probability,Beginner,4.62,4,324515,Probability Course Probability Beginner
199,Probability Course,Probability,Intermediate,4.85,7,146064,Probability Course Probability Intermediate
200,TensorFlow Crash Course,TensorFlow,Intermediate,4.08,13,163443,TensorFlow Crash Course TensorFlow Intermediate
201,PyTorch for Deep Learning,PyTorch,Advanced,4.12,17,145589,PyTorch for Deep Learning PyTorch Advanced
202,TensorFlow Crash Course,TensorFlow,Advanced,4.55,37,491991,TensorFlow Crash Course TensorFlow Advanced
203,Deep Learning Fundamentals,Deep Learning,Beginner,4.32,11,177030,Deep Learning Fundamentals Deep Learning Beginner
204,Machine Learning Intro,Machine Learning,Intermediate,4.88,35,430272,Machine Learning Intro Machine Learning Intermediate
205,Numpy Fundamentals,Numpy,Intermediate,4.08,21,415266,Numpy Fundamentals Numpy Intermediate
206,SQL for Data Science,SQL,Advanced,3.81,9,186519,SQL for Data Science SQL Advanced
207,Computer Vision Basics,Computer Vision,Intermediate,4.59,28,28011,Computer Vision Basics Computer Vision Intermediate
208,Linear Algebra Course,Linear Algebra,Beginner,3.54,19,478789,Linear Algebra Course Linear Algebra Beginner
209,Python for Data Science,Python,Beginner,4.42,14,211101,Python for Data Science Python Beginner
210,Data Analysis Course,Data Analysis,Intermediate,4.97,28,209552,Data Analysis Course Data Analysis Intermediate
211,Numpy Fundamentals,Numpy,Advanced,4.51,29,461263,Numpy Fundamentals Numpy Advanced
212,ML Algorithms,Machine Learning,Advanced,4.15,40,107019,ML Algorithms Machine Learning Advanced
213,TensorFlow Crash Course,TensorFlow,Intermediate,4.8,20,269915,TensorFlow Crash Course TensorFlow Intermediate
214,Statistics for Data Science,Statistics,Intermediate,4.53,15,43486,Statistics for Data Science Statistics Intermediate
215,Probability Course,Probability,Beginner,4.81,26,416903,Probability Course Probability Beginner
216,Deep Learning Fundamentals,Deep Learning,Advanced,3.91,11,44925,Deep Learning Fundamentals Deep Learning Advanced
217,Machine Learning Intro,Machine Learning,Intermediate,3.68,4,244640,Machine Learning Intro Machine Learning Intermediate
218,Pandas for Data Analysis,Pandas,Intermediate,3.51,34,398625,Pandas for Data Analysis Pandas Intermediate
219,Pandas for Data Analysis,Pandas,Intermediate,3.73,17,149360,Pandas for Data Analysis Pandas Intermediate
220,Numpy Fundamentals,Numpy,Advanced,4.54,32,418399,Numpy Fundamentals Numpy Advanced
221,Computer Vision Basics,Computer Vision,Intermediate,4.36,30,297029,Computer Vision Basics Computer Vision Intermediate
222,Pandas for Data Analysis,Pandas,Advanced,4.18,2,488568,Pandas for Data Analysis Pandas Advanced
223,SQL for Data Science,SQL,Intermediate,4.46,32,329248,SQL for Data Science SQL Intermediate
224,PyTorch for Deep Learning,PyTorch,Beginner,4.28,18,288557,PyTorch for Deep Learning PyTorch Beginner
225,Data Analysis Course,Data Analysis,Advanced,4.94,3,18065,Data Analysis Course Data Analysis Advanced
226,Machine Learning Intro,Machine Learning,Beginner,4.36,38,102092,Machine Learning Intro Machine Learning Beginner
227,Machine Learning Intro,Machine Learning,Intermediate,4.33,39,47809,Machine Learning Intro Machine Learning Intermediate
228,Natural Language Processing,NLP,Beginner,4.08,7,52910,Natural Language Processing NLP Beginner
229,Linear Algebra Course,Linear Algebra,Beginner,4.58,36,162642,Linear Algebra Course Linear Algebra Beginner
230,Natural Language Processing,NLP,Beginner,3.9,11,366705,Natural Language Processing NLP Beginner
231,Data Visualization with Python,Data Visualization,Advanced,4.5,17,43176,Data Visualization with Python Data Visualization Advanced
232,Neural Networks,Deep Learning,Advanced,4.98,26,382208,Neural Networks Deep Learning Advanced
233,Numpy Fundamentals,Numpy,Advanced,3.67,22,331921,Numpy Fundamentals Numpy Advanced
234,Natural Language Processing,NLP,Advanced,3.6,18,119668,Natural Language Processing NLP Advanced
235,PyTorch for Deep Learning,PyTorch,Intermediate,4.64,8,497346,PyTorch for Deep Learning PyTorch Intermediate
236,Statistics for Data Science,Statistics,Advanced,3.69,20,28775,Statistics for Data Science Statistics Advanced
237,Numpy Fundamentals,Numpy,Advanced,3.59,4,282671,Numpy Fundamentals Numpy Advanced
238,Data Analysis Course,Data Analysis,Beginner,4.41,39,357323,Data Analysis Course Data Analysis Beginner
239,Python for Data Science,Python,Intermediate,3.79,29,248176,Python for Data Science Python Intermediate
240,Computer Vision Basics,Computer Vision,Beginner,3.85,4,265492,Computer Vision Basics Computer Vision Beginner
241,Linear Algebra Course,Linear Algebra,Beginner,4.38,23,489821,Linear Algebra Course Linear Algebra Beginner
242,SQL for Data Science,SQL,Advanced,4.96,27,4598,SQL for Data Science SQL Advanced
243,Numpy Fundamentals,Numpy,Beginner,4.34,40,283666,Numpy Fundamentals Numpy Beginner
244,Statistics for Data Science,Statistics,Intermediate,4.93,6,346080,Statistics for Data Science Statistics Intermediate
245,Natural Language Processing,NLP,Intermediate,4.18,11,361768,Natural Language Processing NLP Intermediate
246,Statistics for Data Science,Statistics,Advanced,4.36,39,302431,Statistics for Data Science Statistics Advanced
247,Data Visualization with Python,Data Visualization,Advanced,4.54,16,99828,Data Visualization with Python Data Visualization Advanced
248,Probability Course,Probability,Beginner,4.75,28,439186,Probability Course Probability Beginner
249,Statistics for Data Science,Statistics,Beginner,3.86,35,262820,Statistics for Data Science Statistics Beginner
250,Statistics for Data Science,Statistics,Advanced,3.72,32,51414,Statistics for Data Science Statistics Advanced
251,Data Visualization with Python,Data Visualization,Beginner,4.02,12,249255,Data Visualization with Python Data Visualization Beginner
252,Computer Vision Basics,Computer Vision,Beginner,4.16,6,160772,Computer Vision Basics Computer Vision Beginner
253,Data Analysis Course,Data Analysis,Advanced,3.69,9,405322,Data Analysis Course Data Analysis Advanced
254,Natural Language Processing,NLP,Intermediate,4.33,33,486328,Natural Language Processing NLP Intermediate
255,Numpy Fundamentals,Numpy,Beginner,4.46,30,148021,Numpy Fundamentals Numpy Beginner
256,Pandas for Data Analysis,Pandas,Advanced,4.08,17,43610,Pandas for Data Analysis Pandas Advanced
257,Data Visualization with Python,Data Visualization,Beginner,3.61,15,381640,Data Visualization with Python Data Visualization Beginner
258,ML Algorithms,Machine Learning,Intermediate,4.48,36,256213,ML Algorithms Machine Learning Intermediate
259,Numpy Fundamentals,Numpy,Advanced,4.43,27,374658,Numpy Fundamentals Numpy Advanced
260,Data Analysis Course,Data Analysis,Beginner,4.75,30,433416,Data Analysis Course Data Analysis Beginner
261,Natural Language Processing,NLP,Intermediate,4.07,11,2442,Natural Language Processing NLP Intermediate
262,Data Analysis Course,Data Analysis,Beginner,4.08,15,212308,Data Analysis Course Data Analysis Beginner
263,Computer Vision Basics,Computer Vision,Advanced,3.6,24,71894,Computer Vision Basics Computer Vision Advanced
264,PyTorch for Deep Learning,PyTorch,Advanced,4.74,14,179304,PyTorch for Deep Learning PyTorch Advanced
265,Machine Learning Intro,Machine Learning,Intermediate,4.06,9,440980,Machine Learning Intro Machine Learning Intermediate
266,Pandas for Data Analysis,Pandas,Intermediate,4.49,35,387131,Pandas for Data Analysis Pandas Intermediate
267,PyTorch for Deep Learning,PyTorch,Beginner,4.12,34,479331,PyTorch for Deep Learning PyTorch Beginner
268,Python Basics,Python,Beginner,4.35,30,394162,Python Basics Python Beginner
269,Computer Vision Basics,Computer Vision,Beginner,4.39,10,330585,Computer Vision Basics Computer Vision Beginner
270,Statistics for Data Science,Statistics,Advanced,4.25,4,47007,Statistics for Data Science Statistics Advanced
271,Probability Course,Probability,Intermediate,4.3,31,465430,Probability Course Probability Intermediate
272,Natural Language Processing,NLP,Beginner,3.97,19,170334,Natural Language Processing NLP Beginner
