user_id,skills,goal,course,completion
40,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
41,python_basics,ai_engineer,data_structures,1
42,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
43,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
44,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,mlops,0
45,"python_basics,python_oop",data_scientist,numpy,1
46,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api",web_developer,authentication,1
47,"html,css,responsive_design,javascript,dom_manipulation",web_developer,react,1
48,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,model_deployment,1
49,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
50,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,css,0
51,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,rest_api,0
52,"python_basics,python_oop,numpy",data_scientist,python_oop,0
53,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
54,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,1
55,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
56,"html,css,responsive_design,javascript,dom_manipulation",web_developer,react,1
57,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp",ai_engineer,transformers,1
58,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,machine_learning,0
59,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
60,"html,css,responsive_design,javascript,dom_manipulation,react",web_developer,state_management,1
61,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
62,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,docker,1
63,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp",ai_engineer,transformers,1
64,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning",data_scientist,feature_engineering,1
65,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning",ai_engineer,deep_learning,1
66,"python_basics,python_oop,numpy",data_scientist,pandas,1
67,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
68,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
69,"python_basics,python_oop,numpy,pandas,statistics,probability",data_scientist,pandas,0
70,"html,css",web_developer,responsive_design,1
71,"python_basics,python_oop,numpy",data_scientist,pandas,1
72,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn",ai_engineer,algorithms,0
73,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
74,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
75,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
76,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
77,python_basics,data_scientist,data_visualization,0
78,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,deep_learning,0
79,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
80,"python_basics,python_oop,numpy,pandas,statistics,probability",data_scientist,linear_algebra,1
81,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,nlp,0
82,python_basics,ai_engineer,probability,0
83,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
84,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
85,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
86,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,1
87,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
88,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
89,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
90,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,machine_learning,0
91,"html,css,responsive_design,javascript",web_developer,database_design,0
92,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
93,"html,css,responsive_design",web_developer,javascript,1
94,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
95,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
96,html,web_developer,css,1
97,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,pandas,0
98,python_basics,data_scientist,python_oop,1
99,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,pandas,0
100,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
101,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
102,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,data_cleaning,0
103,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation",data_scientist,deep_learning,1
104,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp",ai_engineer,transformers,1
105,"python_basics,python_oop,numpy,pandas",data_scientist,data_visualization,0
106,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,deployment,0
107,"python_basics,data_structures,algorithms,linear_algebra,probability",ai_engineer,machine_learning,1
108,"python_basics,data_structures,algorithms,linear_algebra,probability",ai_engineer,machine_learning,1
109,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
110,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api",web_developer,authentication,1
111,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
112,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,1
113,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation",data_scientist,deep_learning,1
114,python_basics,data_scientist,machine_learning,0
115,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
116,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
117,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,linear_algebra,0
118,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
119,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
120,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
121,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
122,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
123,"python_basics,python_oop",data_scientist,numpy,1
124,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
125,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,sql,1
126,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,data_visualization,0
127,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,pandas,0
128,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,docker,0
129,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,mlops,0
130,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,backend_basics,0
131,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,docker,1
132,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,rest_api,1
133,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,python_oop,0
134,"html,css,responsive_design,javascript,dom_manipulation,react",web_developer,state_management,0
135,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
136,"python_basics,data_structures,algorithms",ai_engineer,linear_algebra,1
137,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
138,"html,css,responsive_design,javascript",web_developer,dom_manipulation,1
139,"python_basics,data_structures",ai_engineer,algorithms,1
140,"html,css,responsive_design,javascript",web_developer,css,0
141,"html,css,responsive_design,javascript,dom_manipulation",web_developer,sql,0
142,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,responsive_design,0
143,"html,css,responsive_design,javascript",web_developer,dom_manipulation,1
144,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,react,0
145,python_basics,ai_engineer,data_structures,1
146,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
147,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,deep_learning,0
148,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
149,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp",ai_engineer,transformers,1
150,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,mlops,1
151,python_basics,data_scientist,python_oop,1
152,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
153,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
154,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,machine_learning,0
155,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
156,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,0
157,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn",ai_engineer,computer_vision,1
158,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
159,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,backend_basics,1
160,"python_basics,data_structures",ai_engineer,algorithms,0
161,"python_basics,data_structures,algorithms,linear_algebra,probability",ai_engineer,linear_algebra,0
162,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
163,"python_basics,python_oop,numpy",data_scientist,pandas,1
164,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
165,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
166,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,responsive_design,0
167,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
168,python_basics,data_scientist,python_oop,1
169,"python_basics,data_structures",ai_engineer,algorithms,1
170,"html,css,responsive_design",web_developer,javascript,1
171,html,web_developer,css,1
172,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning",ai_engineer,deep_learning,1
173,"html,css,responsive_design,javascript,dom_manipulation",web_developer,react,1
174,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,database_design,1
175,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,1
176,python_basics,ai_engineer,data_structures,1
177,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,model_deployment,1
178,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
179,"python_basics,data_structures",ai_engineer,algorithms,1
180,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning",ai_engineer,mlops,0
181,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,docker,0
182,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
183,"html,css",web_developer,responsive_design,1
184,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,sql,1
185,"html,css",web_developer,responsive_design,1
186,"python_basics,python_oop,numpy,pandas",data_scientist,python_oop,0
187,"html,css,responsive_design,javascript,dom_manipulation,react",web_developer,state_management,1
188,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,sql,1
189,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,rest_api,0
190,"python_basics,data_structures,algorithms,linear_algebra,probability",ai_engineer,python_basics,0
191,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
192,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
193,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
194,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,numpy,0
195,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,model_deployment,1
196,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,sql,1
197,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
198,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,model_deployment,0
199,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,backend_basics,1
200,"html,css,responsive_design",web_developer,javascript,0
201,"html,css,responsive_design,javascript,dom_manipulation,react",web_developer,state_management,1
202,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
203,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
204,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,docker,1
205,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,html,0
206,"python_basics,python_oop,numpy",data_scientist,pandas,1
207,"python_basics,python_oop,numpy",data_scientist,pandas,1
208,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
209,html,web_developer,css,1
210,"python_basics,python_oop,numpy,pandas,statistics,probability",data_scientist,linear_algebra,1
211,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation",data_scientist,deep_learning,1
212,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
213,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
214,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,algorithms,0
215,"python_basics,data_structures,algorithms",ai_engineer,linear_algebra,0
216,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
217,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,0
218,html,web_developer,rest_api,0
219,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication",web_developer,sql,1
220,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,rest_api,1
221,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
222,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning",ai_engineer,deep_learning,1
223,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
224,"html,css,responsive_design",web_developer,javascript,1
225,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning",data_scientist,deep_learning,0
226,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
227,"html,css,responsive_design,javascript,dom_manipulation,react",web_developer,dom_manipulation,0
228,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,probability,1
229,"html,css,responsive_design,javascript",web_developer,responsive_design,0
230,html,web_developer,css,1
231,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,transformers,0
232,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
233,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn",ai_engineer,cnn,0
234,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,backend_basics,1
235,"python_basics,python_oop",data_scientist,data_cleaning,0
236,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,deployment,1
237,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
238,"html,css,responsive_design",web_developer,javascript,1
239,"python_basics,data_structures,algorithms",ai_engineer,linear_algebra,1
240,"python_basics,python_oop,numpy",data_scientist,pandas,1
241,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
242,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
243,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,model_deployment,1
244,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning",data_scientist,feature_engineering,1
245,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
246,"python_basics,data_structures,algorithms",ai_engineer,linear_algebra,1
247,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation",data_scientist,feature_engineering,0
248,"html,css,responsive_design",web_developer,javascript,1
249,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
250,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,machine_learning,0
251,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design",web_developer,responsive_design,0
252,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api",web_developer,authentication,1
253,"html,css,responsive_design,javascript",web_developer,react,0
254,"html,css,responsive_design,javascript",web_developer,css,0
255,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,docker,1
256,"python_basics,python_oop",data_scientist,numpy,1
257,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,machine_learning,0
258,"html,css,responsive_design,javascript,dom_manipulation",web_developer,react,1
259,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,css,0
260,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,mlops,1
261,"html,css,responsive_design,javascript",web_developer,dom_manipulation,1
262,python_basics,ai_engineer,data_structures,1
263,"html,css,responsive_design,javascript,dom_manipulation,react,state_management",web_developer,backend_basics,1
264,"html,css",web_developer,responsive_design,1
265,"html,css",web_developer,react,0
266,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering",data_scientist,model_evaluation,1
267,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,python_basics,0
268,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,cnn,0
269,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning",ai_engineer,cnn,1
270,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics",web_developer,rest_api,1
271,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
272,"python_basics,data_structures",ai_engineer,algorithms,1
273,"python_basics,python_oop,numpy,pandas,statistics,probability",data_scientist,machine_learning,0
274,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
275,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql,database_design,deployment",web_developer,docker,1
276,"html,css",web_developer,dom_manipulation,0
277,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
278,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api",web_developer,docker,0
279,"python_basics,python_oop",data_scientist,linear_algebra,0
280,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
281,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning",data_scientist,feature_engineering,1
282,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
283,"python_basics,python_oop,numpy,pandas",data_scientist,statistics,1
284,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation,deep_learning",data_scientist,machine_learning,0
285,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
